"candidate_id","candidate_source","source_record_id","title_as_found","authors_as_found","year_as_found","identifier_as_found","candidate_reason","verification_status","verification_source","canonical_record_id","canonical_identifier","record_relationship","primary_status","screening_level","decision_reason","access_level","notes"
"HEALTH-LIT-001","Q05 PubMed","37812713","Associations between light exposure and sleep timing and sleepiness while awake in a sample of UK adults in everyday life","Didikoglu A et al.","2023","10.1073/pnas.2301608120","Objective everyday light with sleep timing and sleepiness outcomes.","verified","PubMed PMID 37812713 and PMC10589638","HEALTH-CAN-001","10.1073/pnas.2301608120","canonical","verified_direct_empirical","full_text","Direct health-relevance evidence with wrist melanopic EDI in 59 adults.","full_text","Seven-day convenience sample; observational associations."
"HEALTH-LIT-002","Q01 legacy; Q08 publisher","s44220-023-00135-8","Day and night light exposure are associated with psychiatric disorders: an objective light study in >85,000 people","Burns AC et al.","2023","10.1038/s44220-023-00135-8","Large objective personal-light study with psychiatric outcomes.","verified","Nature Mental Health version-of-record page","HEALTH-CAN-002","10.1038/s44220-023-00135-8","canonical","verified_direct_empirical","full_text","Direct population-health evidence; wrist broad-spectrum sensor.","full_text","Cross-sectional outcome analysis; no causal inference."
"HEALTH-LIT-003","Q01 legacy; Q08 PMC","39070751","Personal light exposure patterns and incidence of type 2 diabetes: analysis of 13 million hours of light sensor data and 670,000 person-years of prospective observation","Windred DP et al.","2024","10.1016/j.lanepe.2024.100943","Prospective objective personal-light study with incident diabetes.","verified","PubMed PMID 39070751 and PMC11281921","HEALTH-CAN-003","10.1016/j.lanepe.2024.100943","canonical","verified_direct_empirical","full_text","Direct prospective metabolic-outcome evidence.","full_text","Wrist broad-spectrum sensor; observational cohort."
"HEALTH-LIT-004","Q01 legacy; Q08 PMC","39405349","Brighter nights and darker days predict higher mortality risk: A prospective analysis of personal light exposure in >88,000 individuals","Windred DP et al.","2024","10.1073/pnas.2405924121","Prospective objective personal-light study with mortality outcomes.","verified","PubMed PMID 39405349 and PMC11513964","HEALTH-CAN-004","10.1073/pnas.2405924121","canonical","verified_direct_empirical","full_text","Direct prospective mortality evidence.","full_text","Wrist broad-spectrum sensor; observational cohort."
"HEALTH-LIT-005","Q02 and Q03","41129148","Light Exposure at Night and Cardiovascular Disease Incidence","Windred DP et al.","2025","10.1001/jamanetworkopen.2025.39031","Prospective objective personal-light study with incident cardiovascular outcomes.","verified","JAMA Network Open version of record; PubMed PMID 41129148 and PMC12550636","HEALTH-CAN-005","10.1001/jamanetworkopen.2025.39031","canonical","verified_direct_empirical","full_text","Direct prospective cardiovascular-outcome evidence.","full_text","Wrist broad-spectrum sensor; observational cohort."
"HEALTH-LIT-006","Q06 PubMed","27383113","Ambient Light Exposure and Changes in Obesity Parameters: A Longitudinal Study of the HEIJO-KYO Cohort","Obayashi K; Saeki K; Kurumatani N","2016","10.1210/jc.2015-4123","Longitudinal measured evening and night light with obesity change.","verified","PubMed PMID 27383113","HEALTH-CAN-006","10.1210/jc.2015-4123","canonical","verified_direct_empirical","abstract","Direct smaller longitudinal metabolic evidence.","abstract","Bedside ambient exposure in older Japanese adults."
"HEALTH-LIT-007","Q07 PMC and publisher","35729737","Light at night in older age is associated with obesity, diabetes, and hypertension","Kim M et al.","2022","10.1093/sleep/zsac130","Measured nocturnal light with cardiometabolic prevalence.","verified","PMC9995772 and Oxford Academic version of record","HEALTH-CAN-007","10.1093/sleep/zsac130","canonical","verified_direct_empirical","full_text","Direct smaller cross-sectional metabolic evidence.","full_text","Wrist sensor in 552 older adults; outcome and exposure were concurrent."
"HEALTH-LIT-008","Q04 PubMed, PMC and publisher","39999702","Characteristics of objectively-measured naturalistic light exposure patterns in U.S. adults: A cross-sectional analysis of two cohorts","Wallace DA et al.","2025","10.1016/j.scitotenv.2025.178839","Large descriptive multisite exposure baseline relevant to the unresolved architecture claim.","verified","PubMed PMID 39999702, PMC11939000 and ScienceDirect version of record","HEALTH-CAN-008","10.1016/j.scitotenv.2025.178839","canonical","verified_contextual","full_text","Contextual exposure-architecture evidence, not a health-outcome effect study.","full_text","Wrist photopic measurements in two US cohorts and eight regions."
"HEALTH-LIT-009","Q09 existing verified package","35298459","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults","Brown TM et al.","2022","10.1371/journal.pbio.3001571","Physiology-based recommendation contexts needed for health-relevant comparison.","verified","PLOS Biology version of record; PubMed PMID 35298459 and PMC8929548","HEALTH-CAN-009","10.1371/journal.pbio.3001571","canonical","verified_contextual","full_text","Contextual expert recommendations, not an observational risk function.","full_text","Current publisher article used with its attached typographical-errata note."
"HEALTH-LIT-010","Q08 exact-title search","10.1101/2022.10.16.22280934","Low daytime light and bright night-time light are associated with psychiatric disorders: an objective light study in >85,000 UK Biobank participants","Burns AC et al.","2022","10.1101/2022.10.16.22280934","Preprint version surfaced while checking the psychiatric article.","verified","medRxiv record and published Nature Mental Health version","HEALTH-CAN-002","10.1038/s44220-023-00135-8","preprint_of","duplicate_or_version","full_text","Superseded by the verified journal article.","full_text","Excluded from bibliography."
"HEALTH-LIT-011","Q09 existing verified package","10.1371/annotation/41b4d297-30ce-4c08-88ce-2cc3d2f875d7","Publisher's Note: Typographical Errata","PLOS Biology","2023","10.1371/annotation/41b4d297-30ce-4c08-88ce-2cc3d2f875d7","Post-publication note attached to the recommendation article.","verified","PLOS Biology article update page","HEALTH-CAN-009","10.1371/journal.pbio.3001571","correction_to","correction_or_retraction","full_text","Use the current publisher article and retain the note in provenance.","full_text","Not a separate bibliography entry; no retraction or expression of concern found."
