run_id,placement,metric_id,metric_order,manuscript_name,site,participants,participant_days,first_date,last_date,abs_latitude_deg,photoperiod_min,photoperiod_max,display_order,site_name,site_color,placement_label
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,RISE,13,78,2025-03-04,2025-10-12,57.715675,11.896925158434444,20.52484733098083,1,Borås (SE),#88CCEE,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,THUAS,13,78,2025-02-22,2025-09-27,52.0116,11.59127261598905,18.223782843152684,2,Delft (NL),#117733,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,BAUA,18,107,2025-06-11,2025-10-19,51.498204,11.580528282059564,18.217757501800858,3,Dortmund (DE),#DDCC77,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,MPI,26,150,2023-08-15,2023-11-12,48.5216,10.501161154309909,15.526877130932276,4,Tübingen (DE),#DDCC77,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,TUM,10,60,2024-05-14,2024-07-28,48.1333,16.40620690557692,17.452678093645307,5,Munich (DE),#DDCC77,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,FUSPCEU,23,129,2024-10-08,2025-02-09,40.4165,10.329644992086624,12.348446626994344,6,Madrid (ES),#CC6677,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,IZTECH,17,101,2024-12-24,2025-06-01,38.32,10.489451321429677,15.696292682422532,7,Izmir (TR),#332288,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,UCR,6,32,2025-06-17,2025-06-29,9.9372,13.465770600769256,13.474863940808508,8,San José (CR),#44AA99,Near eye — primary
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,KNUST,15,81,2024-10-08,2025-02-02,6.6750074282377385,12.493067087067498,12.71061712841193,9,Kumasi (GH),#AA4499,Near eye — primary
primary__chest,chest,daily_geometric_mean_medi,1,Mean melEDI,RISE,16,96,2025-03-04,2025-10-19,57.715675,11.350968501501614,20.52484733098083,1,Borås (SE),#88CCEE,Chest — complementary
