run_id,stage,lag_30_minute_bins,correlation,pairs
main__glasses__all_available,preliminary_no_AR1,1,0.6226945612442714,36398
main__glasses__all_available,preliminary_no_AR1,2,0.3408449020372026,35084
main__glasses__all_available,preliminary_no_AR1,3,0.18893806087335446,33793
main__glasses__all_available,preliminary_no_AR1,4,0.10656816752825875,32528
main__glasses__all_available,preliminary_no_AR1,5,0.05953338972471405,31293
main__glasses__all_available,preliminary_no_AR1,6,0.023884352473928946,30084
main__glasses__all_available,final_AR1_standardized,1,0.08257577227092902,36398
main__glasses__all_available,final_AR1_standardized,2,-0.01867205211647322,35084
main__glasses__all_available,final_AR1_standardized,3,-0.005181825818660517,33793
main__glasses__all_available,final_AR1_standardized,4,-0.0014700046391974066,32528
main__glasses__all_available,final_AR1_standardized,5,0.004488685557996011,31293
main__glasses__all_available,final_AR1_standardized,6,-0.013672235200421,30084
alternative_preprocessing__glasses__all_available,preliminary_no_AR1,1,0.6205468281745262,36424
alternative_preprocessing__glasses__all_available,preliminary_no_AR1,2,0.33879265208033316,35255
alternative_preprocessing__glasses__all_available,preliminary_no_AR1,3,0.18620204660517026,34114
alternative_preprocessing__glasses__all_available,preliminary_no_AR1,4,0.10363875800191992,32978
alternative_preprocessing__glasses__all_available,preliminary_no_AR1,5,0.05483060999129762,31877
alternative_preprocessing__glasses__all_available,preliminary_no_AR1,6,0.020949796189563163,30777
alternative_preprocessing__glasses__all_available,final_AR1_standardized,1,0.08067965294262643,36424
alternative_preprocessing__glasses__all_available,final_AR1_standardized,2,-0.01785197420117206,35255
alternative_preprocessing__glasses__all_available,final_AR1_standardized,3,-0.005982625745100295,34114
alternative_preprocessing__glasses__all_available,final_AR1_standardized,4,-0.0019606594834562026,32978
alternative_preprocessing__glasses__all_available,final_AR1_standardized,5,-0.0014890645740410532,31877
alternative_preprocessing__glasses__all_available,final_AR1_standardized,6,-0.014355572567030225,30777
main__chest__all_available,preliminary_no_AR1,1,0.6065245017165393,40335
main__chest__all_available,preliminary_no_AR1,2,0.3325160457402888,38871
main__chest__all_available,preliminary_no_AR1,3,0.1903425511940835,37442
main__chest__all_available,preliminary_no_AR1,4,0.10450900985582591,36035
main__chest__all_available,preliminary_no_AR1,5,0.06031284489252117,34653
main__chest__all_available,preliminary_no_AR1,6,0.031069341007460036,33298
main__chest__all_available,final_AR1_standardized,1,0.06982900291685898,40335
main__chest__all_available,final_AR1_standardized,2,-0.008881557997181185,38871
main__chest__all_available,final_AR1_standardized,3,0.0168843562869162,37442
main__chest__all_available,final_AR1_standardized,4,-0.0022669092276486062,36035
main__chest__all_available,final_AR1_standardized,5,0.0017387681925002208,34653
main__chest__all_available,final_AR1_standardized,6,-0.0028000646598778057,33298
alternative_preprocessing__chest__all_available,preliminary_no_AR1,1,0.6008299165206022,40382
alternative_preprocessing__chest__all_available,preliminary_no_AR1,2,0.3251817540244684,39107
alternative_preprocessing__chest__all_available,preliminary_no_AR1,3,0.1828377739880915,37868
alternative_preprocessing__chest__all_available,preliminary_no_AR1,4,0.09926490114039122,36634
alternative_preprocessing__chest__all_available,preliminary_no_AR1,5,0.05356590059124801,35426
alternative_preprocessing__chest__all_available,preliminary_no_AR1,6,0.024364991890037355,34221
alternative_preprocessing__chest__all_available,final_AR1_standardized,1,0.07045675618750655,40382
alternative_preprocessing__chest__all_available,final_AR1_standardized,2,-0.007238155556639654,39107
alternative_preprocessing__chest__all_available,final_AR1_standardized,3,0.014665262959350427,37868
alternative_preprocessing__chest__all_available,final_AR1_standardized,4,-5.789820892954647e-4,36634
alternative_preprocessing__chest__all_available,final_AR1_standardized,5,-0.0017222457081726957,35426
alternative_preprocessing__chest__all_available,final_AR1_standardized,6,-0.0048198685962987506,34221
main__chest__paired_common_sample,preliminary_no_AR1,1,0.6033964491498615,28714
main__chest__paired_common_sample,preliminary_no_AR1,2,0.33091380542128607,27677
main__chest__paired_common_sample,preliminary_no_AR1,3,0.19316844211919576,26662
main__chest__paired_common_sample,preliminary_no_AR1,4,0.11015115076299678,25667
main__chest__paired_common_sample,preliminary_no_AR1,5,0.06588914539265404,24693
main__chest__paired_common_sample,preliminary_no_AR1,6,0.036584256427885556,23740
main__chest__paired_common_sample,final_AR1_standardized,1,0.06876621639519785,28714
main__chest__paired_common_sample,final_AR1_standardized,2,-0.008195508176200784,27677
main__chest__paired_common_sample,final_AR1_standardized,3,0.018135404266949227,26662
main__chest__paired_common_sample,final_AR1_standardized,4,0.002901460341637188,25667
main__chest__paired_common_sample,final_AR1_standardized,5,0.005100757924430359,24693
main__chest__paired_common_sample,final_AR1_standardized,6,-0.0013087478912961936,23740
main__glasses__paired_common_sample,preliminary_no_AR1,1,0.627418508797108,28714
main__glasses__paired_common_sample,preliminary_no_AR1,2,0.35203227768079987,27677
main__glasses__paired_common_sample,preliminary_no_AR1,3,0.19935777659837034,26662
