run_id,diagnostic_seed,simulation_replicates,smooth,k_prime,edf,k_index,p_value
main__glasses__all_available,20302611,200,s(time_hour),10,9.85438983560218,0.9990413442452334,0.435
main__glasses__all_available,20302611,200,"s(time_hour,site)",96,66.58713765376923,,
main__glasses__all_available,20302611,200,"s(time_hour,participant)",1410,717.5693265956626,0.9990413442452334,0.455
main__glasses__all_available,20302611,200,s(participant_day),816,340.3892730821398,,
alternative_preprocessing__glasses__all_available,20382352,200,s(time_hour),10,9.854751853595756,0.9982225685455136,0.455
alternative_preprocessing__glasses__all_available,20382352,200,"s(time_hour,site)",96,66.7441663200324,,
alternative_preprocessing__glasses__all_available,20382352,200,"s(time_hour,participant)",1410,704.673943841178,0.9982225685455136,0.51
alternative_preprocessing__glasses__all_available,20382352,200,s(participant_day),809,356.22744943530637,,
main__chest__all_available,20296837,200,s(time_hour),10,9.838295983503432,0.9824515019766944,0.13
main__chest__all_available,20296837,200,"s(time_hour,site)",84,69.14764564524465,,
main__chest__all_available,20296837,200,"s(time_hour,participant)",1540,640.731403828654,0.9824515019766944,0.115
main__chest__all_available,20296837,200,s(participant_day),902,431.57373296431854,,
alternative_preprocessing__chest__all_available,20372198,200,s(time_hour),10,9.835334363466325,0.9768369400660111,0.025
alternative_preprocessing__chest__all_available,20372198,200,"s(time_hour,site)",84,68.3836491365139,,
alternative_preprocessing__chest__all_available,20372198,200,"s(time_hour,participant)",1540,630.2113031536614,0.9768369400660111,0.045
alternative_preprocessing__chest__all_available,20372198,200,s(participant_day),894,426.4708358843038,,
main__chest__paired_common_sample,20319765,200,s(time_hour),10,9.784870898065593,1.0088172411620717,0.755
main__chest__paired_common_sample,20319765,200,"s(time_hour,site)",84,60.77891175919345,,
main__chest__paired_common_sample,20319765,200,"s(time_hour,participant)",1120,438.7457334356476,1.0088172411620717,0.765
main__chest__paired_common_sample,20319765,200,s(participant_day),643,319.4317352970907,,
main__glasses__paired_common_sample,20327085,200,s(time_hour),10,9.809521202122653,0.9946143188172157,0.365
main__glasses__paired_common_sample,20327085,200,"s(time_hour,site)",84,58.59688745126915,,
main__glasses__paired_common_sample,20327085,200,"s(time_hour,participant)",1120,495.19689852821983,0.9946143188172157,0.4
main__glasses__paired_common_sample,20327085,200,s(participant_day),643,294.51025233323764,,
alternative_preprocessing__chest__paired_common_sample,20410586,200,s(time_hour),10,9.779075483762217,0.9575323342444505,0
alternative_preprocessing__chest__paired_common_sample,20410586,200,"s(time_hour,site)",84,59.96630171840614,,
alternative_preprocessing__chest__paired_common_sample,20410586,200,"s(time_hour,participant)",1120,424.52976163445834,0.9575323342444505,0.005
alternative_preprocessing__chest__paired_common_sample,20410586,200,s(participant_day),637,310.920847898596,,
alternative_preprocessing__glasses__paired_common_sample,20422286,200,s(time_hour),10,9.812071662775631,1.0053925285723833,0.665
alternative_preprocessing__glasses__paired_common_sample,20422286,200,"s(time_hour,site)",84,58.8804349449376,,
alternative_preprocessing__glasses__paired_common_sample,20422286,200,"s(time_hour,participant)",1120,475.75389351946677,1.0053925285723833,0.61
alternative_preprocessing__glasses__paired_common_sample,20422286,200,s(participant_day),637,282.21593114633515,,
