run_id,AR_start,ar_start_reason,observations
main__glasses__all_available,TRUE,after_non_one_to_one_wall_outcome,4
main__glasses__all_available,FALSE,continuous,36398
main__glasses__all_available,TRUE,elapsed_discontinuity,530
main__glasses__all_available,TRUE,non_one_to_one_wall_outcome,8
main__glasses__all_available,TRUE,participant_day_start,816
alternative_preprocessing__glasses__all_available,TRUE,after_non_one_to_one_wall_outcome,4
alternative_preprocessing__glasses__all_available,FALSE,continuous,36424
alternative_preprocessing__glasses__all_available,TRUE,elapsed_discontinuity,358
alternative_preprocessing__glasses__all_available,TRUE,non_one_to_one_wall_outcome,8
alternative_preprocessing__glasses__all_available,TRUE,participant_day_start,809
main__chest__all_available,TRUE,after_non_one_to_one_wall_outcome,2
main__chest__all_available,FALSE,continuous,40335
main__chest__all_available,TRUE,elapsed_discontinuity,599
main__chest__all_available,TRUE,non_one_to_one_wall_outcome,4
main__chest__all_available,TRUE,participant_day_start,902
alternative_preprocessing__chest__all_available,TRUE,after_non_one_to_one_wall_outcome,2
alternative_preprocessing__chest__all_available,FALSE,continuous,40382
alternative_preprocessing__chest__all_available,TRUE,elapsed_discontinuity,382
alternative_preprocessing__chest__all_available,TRUE,non_one_to_one_wall_outcome,4
alternative_preprocessing__chest__all_available,TRUE,participant_day_start,894
main__chest__paired_common_sample,TRUE,after_non_one_to_one_wall_outcome,2
main__chest__paired_common_sample,FALSE,continuous,28714
main__chest__paired_common_sample,TRUE,elapsed_discontinuity,423
main__chest__paired_common_sample,TRUE,non_one_to_one_wall_outcome,4
main__chest__paired_common_sample,TRUE,participant_day_start,643
main__glasses__paired_common_sample,TRUE,after_non_one_to_one_wall_outcome,2
main__glasses__paired_common_sample,FALSE,continuous,28714
main__glasses__paired_common_sample,TRUE,elapsed_discontinuity,423
main__glasses__paired_common_sample,TRUE,non_one_to_one_wall_outcome,4
main__glasses__paired_common_sample,TRUE,participant_day_start,643
alternative_preprocessing__chest__paired_common_sample,TRUE,after_non_one_to_one_wall_outcome,2
alternative_preprocessing__chest__paired_common_sample,FALSE,continuous,28706
alternative_preprocessing__chest__paired_common_sample,TRUE,elapsed_discontinuity,285
alternative_preprocessing__chest__paired_common_sample,TRUE,non_one_to_one_wall_outcome,4
alternative_preprocessing__chest__paired_common_sample,TRUE,participant_day_start,637
alternative_preprocessing__glasses__paired_common_sample,TRUE,after_non_one_to_one_wall_outcome,2
alternative_preprocessing__glasses__paired_common_sample,FALSE,continuous,28706
alternative_preprocessing__glasses__paired_common_sample,TRUE,elapsed_discontinuity,285
alternative_preprocessing__glasses__paired_common_sample,TRUE,non_one_to_one_wall_outcome,4
alternative_preprocessing__glasses__paired_common_sample,TRUE,participant_day_start,637
