base_run_id,placement,model_variant,cluster_level,clusters,clusters_with_estimable_correlation,eligible_pairs,median_lag1_correlation,q05_lag1_correlation,q95_lag1_correlation
main__glasses__all_available,glasses,cyclic_global_primary,participant,141,141,36398,0.08084269776161158,-0.114337366887887,0.27110946450268525
main__glasses__all_available,glasses,cyclic_global_primary,participant_day,816,816,36398,0.09707897290852446,-0.2516192409301112,0.45763851890509855
main__glasses__all_available,glasses,cyclic_global_primary,AR_sequence,1314,1265,36398,0.08130336271977849,-0.4925330260671454,0.5872899084713626
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,participant,141,141,36398,0.08095164150474125,-0.11257645826746716,0.271147179419431
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,participant_day,816,816,36398,0.09712276705177811,-0.25288984221391186,0.4555314873286652
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,AR_sequence,1314,1265,36398,0.08286293051571555,-0.4957502534553491,0.594018717360771
main__chest__all_available,chest,cyclic_global_primary,participant,154,154,40335,0.08584647538851786,-0.13193266829738637,0.26880961254544244
main__chest__all_available,chest,cyclic_global_primary,participant_day,902,902,40335,0.08799947685224464,-0.28517303447372366,0.4447609145272405
main__chest__all_available,chest,cyclic_global_primary,AR_sequence,1464,1407,40335,0.07719803505192484,-0.424529435430842,0.6181676901048092
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,participant,154,154,40335,0.08642868119441274,-0.1312390926032363,0.26869890506717
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,participant_day,902,902,40335,0.08827924731149056,-0.2868983791299119,0.4461574529613937
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,AR_sequence,1464,1407,40335,0.07746388603475025,-0.420050764805907,0.6424623627111138
