run_id,cluster_level,cluster_id,eligible_pairs,lag1_correlation
main__glasses__all_available,participant,BAUA::BAUA_S001,262,0.07853988870692903
main__glasses__all_available,participant,BAUA::BAUA_S002,266,0.21049479645948482
main__glasses__all_available,participant,BAUA::BAUA_S003,282,0.07018718669573747
main__glasses__all_available,participant,BAUA::BAUA_S004,256,0.021940156293007506
main__glasses__all_available,participant,BAUA::BAUA_S005,216,0.18475362776812004
main__glasses__all_available,participant,BAUA::BAUA_S006,272,0.2599820278823205
main__glasses__all_available,participant,BAUA::BAUA_S007,264,0.006204797633476165
main__glasses__all_available,participant,BAUA::BAUA_S009,272,0.2525258992177231
main__glasses__all_available,participant,BAUA::BAUA_S011,282,0.09213739819058221
main__glasses__all_available,participant,BAUA::BAUA_S012,250,0.32046325725424724
main__glasses__all_available,participant,BAUA::BAUA_S013,276,-0.022592656528554345
main__glasses__all_available,participant,BAUA::BAUA_S014,282,0.07745717036166518
main__glasses__all_available,participant,BAUA::BAUA_S015,253,0.16106785629597484
main__glasses__all_available,participant,BAUA::BAUA_S016,252,7.093991750982796e-4
main__glasses__all_available,participant,BAUA::BAUA_S018,274,0.1969210393653461
main__glasses__all_available,participant,BAUA::BAUA_S022,280,0.15520840012000223
main__glasses__all_available,participant,BAUA::BAUA_S024,275,0.13845292540414064
main__glasses__all_available,participant,BAUA::BAUA_S025,278,0.048868063558033775
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S003,272,-0.03246621379682162
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S004,229,0.11611429300033842
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S005,265,0.18525567972802254
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S006,222,-0.1671818825880344
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S007,266,0.10424411713195851
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S008,316,0.3854401849587508
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S009,329,0.25973625944495166
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S010,188,0.23104372169820814
main__glasses__all_available,participant,FUSPCEU::FUSPCEU_S011,230,0.09863406703530234
