run_id,component,group,cyclic_continuity_imposed,finite_difference_step_hours,eta_at_00,eta_at_24,midnight_value_jump_eta,midnight_ratio_24_to_00,derivative_at_00_eta_per_hour,derivative_at_24_eta_per_hour,midnight_derivative_jump_eta_per_hour
main__glasses__all_available,common_time_curve,equal-site common curve,TRUE,0.01,-1.144927795339169,-1.1449277953391692,-2.220446049250313e-16,0.9999999999999994,-0.39813269242230387,-0.39978770142994335,-0.0016550090076394852
main__glasses__all_available,site_deviation_curve,BAUA,FALSE,0.01,-0.263688924199403,-0.388471045132858,-0.12478212093345503,0.7502705144623256,0.12132772390882618,-0.13492407493705394,-0.2562517988458801
main__glasses__all_available,site_deviation_curve,FUSPCEU,FALSE,0.01,-0.29161193308969746,-0.4027812179277616,-0.11116928483806415,0.7741599770403613,0.028673471584828025,-0.287100129586626,-0.31577360117145403
main__glasses__all_available,site_deviation_curve,IZTECH,FALSE,0.01,0.36685470084886973,0.6651465130241172,0.2982918121752475,1.9874298673918858,-0.12000682342528934,0.13443045311593016,0.2544372765412195
main__glasses__all_available,site_deviation_curve,KNUST,FALSE,0.01,-0.4327152743936022,-0.46418658643727956,-0.03147131204367737,0.9300979517034635,0.14629699435957377,0.09353407961556481,-0.05276291474400896
main__glasses__all_available,site_deviation_curve,MPI,FALSE,0.01,0.4013886548735183,0.35212855489524786,-0.049260099978270466,0.892770641170531,-0.1743380363442848,0.049813718771080095,0.2241517551153649
main__glasses__all_available,site_deviation_curve,RISE,FALSE,0.01,-0.40193039021869453,-0.41631269055989617,-0.014382300341201637,0.9674258765785916,0.14895373338240092,-0.037069366302827644,-0.18602309968522857
main__glasses__all_available,site_deviation_curve,THUAS,FALSE,0.01,-0.08454412903831107,0.19207734750261266,0.2766214765409237,1.8906950036680923,0.011528740774809088,0.011501918300910186,-2.6822473898902022e-5
main__glasses__all_available,site_deviation_curve,TUM,FALSE,0.01,0.5890795356621005,0.6684400224489085,0.07936048678680807,1.2004953626802022,-0.1660687604426836,0.1868328585161394,0.352901618958823
main__glasses__all_available,site_deviation_curve,UCR,FALSE,0.01,0.11716775955522084,-0.20604089781309046,-0.3232086573683113,0.47510690534664773,0.0036329562015491312,-0.017019457493028245,-0.020652413694577376
main__glasses__all_available,full_site_curve,BAUA,FALSE,0.01,-1.408616719538572,-1.5333988404720271,-0.1247821209334552,0.7502705144623253,-0.2768049685134777,-0.5347117763669917,-0.25790680785351405
main__glasses__all_available,full_site_curve,FUSPCEU,FALSE,0.01,-1.4365397284288663,-1.5477090132669309,-0.11116928483806454,0.7741599770403607,-0.36945922083748695,-0.6868878310165805,-0.3174286101790935
main__glasses__all_available,full_site_curve,IZTECH,FALSE,0.01,-0.7780730944902993,-0.479781282315052,0.29829181217524725,1.9874298673918849,-0.5181395158475932,-0.2653572483140132,0.25278226753358
main__glasses__all_available,full_site_curve,KNUST,FALSE,0.01,-1.5776430697327712,-1.6091143817764488,-0.03147131204367759,0.9300979517034631,-0.2518356980627301,-0.30625362181437854,-0.054417923751648445
main__glasses__all_available,full_site_curve,MPI,FALSE,0.01,-0.7435391404656506,-0.7927992404439214,-0.049260099978270744,0.8927706411705304,-0.5724707287665942,-0.3499739826588688,0.2224967461077254
main__glasses__all_available,full_site_curve,RISE,FALSE,0.01,-1.5468581855578636,-1.5612404858990654,-0.014382300341201804,0.9674258765785912,-0.2491789590398863,-0.43685706773277655,-0.18767810869289026
