run_id,level,site,participant,observations,mean_absolute_standardized_residual,p99_absolute_standardized_residual,maximum_absolute_standardized_residual,total_leverage,maximum_leverage
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S001,273,0.34942700378399383,1.3333845575239807,2.102272286833272,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S002,276,0.4090927814743124,1.7858817352846463,2.6169667402710752,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S003,288,0.4032653857771832,2.346343395860242,3.5142654492783234,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S004,267,0.5468076470191245,2.341225229704407,4.445995839319296,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S005,227,0.4920855983797435,2.394471659610489,3.6112471524905656,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S006,279,0.5846903413095259,2.593898277867522,3.502009241557591,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S007,276,0.42400925845625403,2.166642287234522,2.702928955355213,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S009,281,0.4870704357087218,2.052997435716908,3.880269634839105,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S011,288,0.3240290171925995,2.0190314917877727,2.6296801424186005,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S012,260,0.5110525907146678,2.8235565528287396,4.9682882399884045,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S013,284,0.5380961628617098,2.3074062319071214,3.427636551783163,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S014,288,0.582035475466204,3.915233353908894,5.616473105127592,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S015,266,0.40442751258317605,1.828478662186811,2.89320279370308,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S016,267,0.36268213170657626,1.8240430546527033,2.165257243702155,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S018,283,0.4677492186522974,2.3810177459210222,2.9639998463154695,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S022,287,0.43807079199528964,1.974034290404716,2.354569038992667,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S024,283,0.2973701728292986,1.545599899129619,1.8217511852732038,,
main__glasses__all_available,participant,BAUA,BAUA::BAUA_S025,286,0.5274931959690088,3.057797155707552,4.170064198751377,,
main__glasses__all_available,participant,FUSPCEU,FUSPCEU::FUSPCEU_S003,280,0.390517860357028,1.9708297362393261,2.5301328909131313,,
main__glasses__all_available,participant,FUSPCEU,FUSPCEU::FUSPCEU_S004,235,0.45688473666265084,2.0302775653919474,4.287281687566198,,
