run_id,placement,model_variant,lag_30_minute_bins,correlation,pairs
main__glasses__all_available,glasses,cyclic_global_primary,1,0.6597609749557651,36398
main__glasses__all_available,glasses,cyclic_global_primary,2,0.39735230041152714,35084
main__glasses__all_available,glasses,cyclic_global_primary,3,0.24432368632527945,33793
main__glasses__all_available,glasses,cyclic_global_primary,4,0.15037538334695116,32528
main__glasses__all_available,glasses,cyclic_global_primary,5,0.09030945170173911,31293
main__glasses__all_available,glasses,cyclic_global_primary,6,0.045596886622963136,30084
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,1,0.6597156553166489,36398
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,2,0.39725539238816565,35084
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,3,0.24416128236608917,33793
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,4,0.15019787953688635,32528
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,5,0.09024547500651575,31293
main__glasses__all_available,glasses,noncyclic_global_tp_diagnostic,6,0.045697973363374736,30084
main__chest__all_available,chest,cyclic_global_primary,1,0.6465414579627147,40335
main__chest__all_available,chest,cyclic_global_primary,2,0.3913030278091869,38871
main__chest__all_available,chest,cyclic_global_primary,3,0.24589976208177258,37442
main__chest__all_available,chest,cyclic_global_primary,4,0.14678629700917034,36035
main__chest__all_available,chest,cyclic_global_primary,5,0.08596402471520458,34653
main__chest__all_available,chest,cyclic_global_primary,6,0.04357717326644545,33298
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,1,0.6465012270612784,40335
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,2,0.391283688335,38871
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,3,0.2458639854243349,37442
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,4,0.14664049590516226,36035
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,5,0.08569261438392554,34653
main__chest__all_available,chest,noncyclic_global_tp_diagnostic,6,0.0432991291583861,33298
