run_id,method,elapsed_seconds,.type,.term,.concurvity
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,worst,para,0.9999999999999996
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,worst,s(time_hour),0.9999999424619325
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,worst,"s(time_hour,site)",1.000000000000259
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,worst,"s(time_hour,participant)",1.0000000000000067
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,worst,s(participant_day),1.0000000000000053
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,observed,para,0.9999999999999996
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,observed,s(time_hour),0.9994043303225334
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,observed,"s(time_hour,site)",0.9923118510492491
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,observed,"s(time_hour,participant)",0.41120881667643006
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,observed,s(participant_day),0.031428317835221466
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,estimate,para,1
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,estimate,s(time_hour),0.9399365995594346
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,estimate,"s(time_hour,site)",0.998791870849509
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,estimate,"s(time_hour,participant)",0.16216242175760637
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),137.37642693519592,estimate,s(participant_day),0.17748233152841522
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,worst,para,1
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,worst,s(time_hour),0.9999999412524754
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,worst,"s(time_hour,site)",1.0000000000004379
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,worst,"s(time_hour,participant)",1.0000000000000058
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,worst,s(participant_day),1.0000000000000107
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,observed,para,1.0000000000000002
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,observed,s(time_hour),0.9996937553491317
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,observed,"s(time_hour,site)",0.9893857540866235
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,observed,"s(time_hour,participant)",0.40793679180143577
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,observed,s(participant_day),0.04737822585410972
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,estimate,para,1
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,estimate,s(time_hour),0.9344047113387318
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,estimate,"s(time_hour,site)",0.998796409289236
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,estimate,"s(time_hour,participant)",0.1503309787614933
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),176.1509609222412,estimate,s(participant_day),0.17486656653888497
