data_scenario_id,run_id,stage,lag_30_minute_bins,correlation,pairs
main,main__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,1,0.6339493985083938,36398
main,main__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,2,0.35008760509514963,35084
main,main__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,3,0.1855627239158966,33793
main,main__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,4,0.08742647589828297,32528
main,main__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,5,0.02880341951640857,31293
main,main__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,6,-0.011534270035827257,30084
main,main__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,1,0.07670180769469483,36398
main,main__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,2,-0.022948857439288484,35084
main,main__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,3,-0.008808262484280205,33793
main,main__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,4,-0.006140938933068518,32528
main,main__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,5,-4.2221025035992844e-4,31293
main,main__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,6,-0.018754322651187854,30084
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,1,0.6316735960856025,36424
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,2,0.3480252162092539,35255
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,3,0.18320552724089065,34114
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,4,0.085230747190269393,32978
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,5,0.02531228005491001,31877
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,preliminary_no_AR1,6,-0.012978219910251372,30777
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,1,0.07555867174096607,36424
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,2,-0.020915411257547048,35255
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,3,-0.008315952637473721,34114
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,4,-0.0052485679888215914,32978
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,5,-0.005019218117878855,31877
alternative_preprocessing,alternative_preprocessing__glasses__all_available__cyclic_ordered_sensitivity,final_AR1_standardized,6,-0.018105159457676136,30777
