"cell","before","after"
1715,"-5.1 pp(-7.8 pp to -2.4 pp)p = <0.00121.5%(19.2% to 23.8%)","-5.1 pp(-7.8 pp to -2.4 pp)p <0.00121.5%(19.2% to 23.8%)"
1717,"-6.5 pp(-9.1 pp to -3.8 pp)p = <0.00183.9%(81.4% to 86.5%)","-6.5 pp(-9.1 pp to -3.8 pp)p <0.00183.9%(81.4% to 86.5%)"
1728,"+5.7 pp(+3.8 pp to +7.7 pp)p = <0.00196.2%(94.4% to 97.9%)","+5.7 pp(+3.8 pp to +7.7 pp)p <0.00196.2%(94.4% to 97.9%)"
1743,"+17.0 pp(+9.8 pp to +24.2 pp)p = <0.00138.5%(30.7% to 46.3%)","+17.0 pp(+9.8 pp to +24.2 pp)p <0.00138.5%(30.7% to 46.3%)"
1756,"-13.8 pp(-20.7 pp to -7.0 pp)p = <0.00176.6%(69.0% to 84.2%)","-13.8 pp(-20.7 pp to -7.0 pp)p <0.00176.6%(69.0% to 84.2%)"
1759,"-17.2 pp(-26.1 pp to -8.3 pp)p = <0.00166.7%(57.0% to 76.5%)","-17.2 pp(-26.1 pp to -8.3 pp)p <0.00166.7%(57.0% to 76.5%)"
1763,"+7.1 pp(+5.6 pp to +8.7 pp)p = <0.00197.6%(96.5% to 98.6%)","+7.1 pp(+5.6 pp to +8.7 pp)p <0.00197.6%(96.5% to 98.6%)"
1766,"+10.5 pp(+7.3 pp to +13.8 pp)p = <0.00194.5%(91.9% to 97.0%)","+10.5 pp(+7.3 pp to +13.8 pp)p <0.00194.5%(91.9% to 97.0%)"
1784,"+7.6 pp(+6.0 pp to +9.1 pp)p = <0.00198.0%(96.8% to 99.1%)","+7.6 pp(+6.0 pp to +9.1 pp)p <0.00198.0%(96.8% to 99.1%)"
1785,"-11.8 pp(-15.8 pp to -7.8 pp)p = <0.0019.7%(6.0% to 13.4%)","-11.8 pp(-15.8 pp to -7.8 pp)p <0.0019.7%(6.0% to 13.4%)"
1786,"+15.5 pp(+9.0 pp to +22.0 pp)p = <0.00183.4%(77.2% to 89.6%)","+15.5 pp(+9.0 pp to +22.0 pp)p <0.00183.4%(77.2% to 89.6%)"
1787,"+13.9 pp(+11.3 pp to +16.4 pp)p = <0.00197.8%(96.5% to 99.1%)","+13.9 pp(+11.3 pp to +16.4 pp)p <0.00197.8%(96.5% to 99.1%)"
