input_role,path,exists,expected_sha256,observed_sha256,hash_verified,bytes
metric_manifest,artifacts/12_manifests/metric_artifacts.csv,TRUE,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,TRUE,51293
site_context_manifest,artifacts/12_manifests/site_solar_context_artifacts.csv,TRUE,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,TRUE,5075
base_manifest,artifacts/12_manifests/base_model_data_artifacts.csv,TRUE,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,TRUE,10273
metric011_decision,audit/decisions/l10_numerical_zero_normalization.md,TRUE,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,TRUE,5435
metric011_evidence_manifest,audit/reconciliation/l10_METRIC-011/METRIC-011_evidence_manifest.csv,TRUE,a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb,a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb,TRUE,1515
mder_decision,audit/decisions/mder_mean_of_viable_ratios.md,TRUE,1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de,1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de,TRUE,9617
mder_audit_manifest,artifacts/08_diagnostics/mder_METRIC-010/audit_manifest.csv,TRUE,5bd34fd4ac26dc2761540393d40e096cde835d8dd4b4edda9253243c9083d4bb,5bd34fd4ac26dc2761540393d40e096cde835d8dd4b4edda9253243c9083d4bb,TRUE,3262
state_support_manifest,artifacts/12_manifests/state_support_gate_artifacts.csv,TRUE,755508076e42ed74ce0d40f48de192b69ea81b04532db2d5a950c451236e2619,755508076e42ed74ce0d40f48de192b69ea81b04532db2d5a950c451236e2619,TRUE,1554
near_eye_context,artifacts/06_model_data/base/metrics_glasses_participant_day_context.rds,TRUE,013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a,013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a,TRUE,109356
chest_context,artifacts/06_model_data/base/metrics_chest_participant_day_context.rds,TRUE,497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057,497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057,TRUE,117824
