"check","passed","detail"
"owner_completion_manifest",TRUE,"35/35 exact unique non-circular"
"central_release_history",TRUE,"132 rows: 130 live exact plus 2 preserved transitions"
"execution_pin_history",TRUE,"113 rows: 111 live exact plus 2 preserved transitions"
"source_full_replay",TRUE,"21/21"
"html_full_replay",TRUE,"43/43"
"replay_outputs_byte_exact",TRUE,"3/3"
"accepted_svg_bytes",TRUE,"20/20; not a claim of raster-free SVG interiors"
"direct_viewport_checks",TRUE,"1440/708/390; no root horizontal overflow"
"table_ranges_all_widths",TRUE,"22/22 at each width; 1px box rounding only, zero page-overflow tolerance"
"coordination_keyboard_desktop",TRUE,"0 to 120px with three ArrowRight presses"
"coordination_keyboard_mobile",TRUE,"0 to 1365.5px; 1366px maximum; last cell reachable"
"browser_console",TRUE,"zero warning/error log entries"
"postqa_preservation",TRUE,"133/133 exact"
"scope_limited_to_browser_preview",TRUE,"Word and scientific claims remain separately gated"
