"check","expected","actual","status"
"R_version","4.6.1","4.6.1","PASS"
"release_manifest_exact","123/123","123/123","PASS"
"H09_execution_inputs_exact","37/37","37/37","PASS"
"H09_preservation_exact","566/566","566/566","PASS"
"candidate_trial_static_anchors_exact","6/6","6/6","PASS"
"bounded_serve_inventory","8","8","PASS"
"serve_symlinks","0","0","PASS"
"serve_external_resources","0","0","PASS"
"loopback_content_loaded","FALSE","FALSE","PASS"
"browser_tabs_created","0","0","PASS"
"listeners_remaining","0","0","PASS"
"visual_acceptance","FALSE","FALSE","PASS"
"lease_disposition","RELEASED_WITHOUT_VISUAL_ACCEPTANCE","RELEASED_WITHOUT_VISUAL_ACCEPTANCE","PASS"
