"field","value"
"candidate_path","audit/hypotheses/H08/report018_order72_svg_export/candidate/H08_near_eye_effects.svg"
"candidate_sha256","f0f77bbd896739941d8ae63bb24ed889528a410a963c2123b07ca3a825f7ddee"
"candidate_bytes","12850"
"svg_width","481.89pt"
"svg_height","385.51pt"
"svg_viewbox","0 0 481.89 385.51"
"intended_width_mm","170.000"
"intended_height_mm","135.999"
"source_csv_sha256","0f7ab7b06a23a16089b000607d4cfb239c323ba39df9c549c365c4da1878dd51"
"metric_registry_sha256","ba60163a1248a03c6c95cfa36fc0b66801f1fdd4af2fa114e024944c2aa3893f"
"builder_sha256","96be883521683fbb951b715dd14b5eb1b6986abd5cfdf60f21fecc4e8857302c"
"accepted_png_sha256","f1cc8e33829cdf821140e95238d20b1516d5796f741002a1f27568d3f9fd7405"
"export_script_sha256","98f806ab6d3625d7b7f285176ce74005b5f767c64158ff449f1414322b9241bc"
"r_version","4.6.1"
"r_library","/Users/zauner/Library/R/arm64/4.6/library"
"disposition","FAIL_CLOSED_NOT_PROMOTED"
