relative_path,sha256,bytes,role,producer,r_version
audit/hypotheses/H06_daily/08_l10_metric011_amendment.qmd,2a13894ed53f0cbe660f2855e3f994ce2041d6408ac36b650a0a4bbff2d6cade,29875,author-gate Quarto source,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
audit/hypotheses/H06_daily/08_l10_metric011_amendment.html,db255bc7d5aba1f71fa8c42ab4de0ebef3807210d45c99f805cfad6074b8a109,1835712,self-contained author-gate HTML,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_l10_metric011_transition.md,5189bf8bd4303c789b3cacf2d7f7dee36620c6fc2a881ba09f69517f00b60dd6,7521,H06-D-G2P-L10-METRIC011 transition,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
audit/handoffs/H06_daily_worker_handoff.md,70482aaaa6c7de7554d54e2c193c3f4de1b6a2fb959ff64993e91cfb89550095,34395,current H06_daily worker handoff,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
audit/handoffs/H06_daily_shared_change_request.md,6321ae8cd9129fba1aa5f40caa5ad1be475ddd3e6dee620dd5649e6f50a645cb,19129,resolved shared METRIC-011 request,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_l10_metric011_contract.R,dc21b6199d422b58302330d93186f5b3049e5c68cf8cc77ae1a08a8352c11458,8636,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_l10_metric011_data.R,831bd9b6a591178bd573f821fd959d1083a3e816974f590705bd263c84e16428,16160,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_l10_metric011_modeling.R,74e73738ff4ee9efceae64808f103c3f14fda265c6748fe4c162279e355f004b,26235,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/audit_h06_daily_l10_metric011.R,19e2790950c584355f7c9a4e2eb11b85053a6049bd88cd66d8419f88bd9d0ee7,16217,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/run_h06_daily_l10_metric011_pilot.R,acb5933d4cc838a04cca8f41a9c0a0fc6bb18503cef86dafb998bccd77d8fe60,15722,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/run_h06_daily_l10_metric011_production.R,6847b70c1a56766c07fcadb9f0f67ba03dfbfe3c14dd07dfe56028e4fbcb52fe,39027,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/run_h06_daily_l10_metric011_influence_pilot.R,8594bd18645eac26e5e7b435f42d21cd7a744b4d93b034a770baf14588f8c71c,5647,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
scripts/hypotheses/H06_daily/run_h06_daily_l10_metric011_influence.R,b3156b1f060828fd552323cdac2b3f2eeb4a0d5abfcdedcbb587ac7f984307fd,7256,executed or reproducibility code,scripts/hypotheses/H06_daily/build_h06_daily_l10_metric011_manifests.R,4.6.1
