relative_path,size_bytes,sha256,role,producer,r_version
audit/hypotheses/H06_daily/05_mder_metric010_amendment.qmd,42760,dc6a80999acec468204b705835236706b04ddda3faa7b5ee079ee56f06e34cd5,executed MDER amendment source,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
audit/hypotheses/H06_daily/05_mder_metric010_amendment.html,1771670,8dbc3dcb6fb69333c04a450c93f5885ef2700f6843414be3c19490f532f0d6fb,self-contained MDER amendment report,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
tests/hypotheses/H06_daily/test_h06_daily_mder_metric010.R,13692,da08c92bfa9c24a1771079aee179e04fc978f462913d37a34c190003c0376d84,focused no-refit MDER verification,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_mder_metric010_transition.md,6459,d8d7484402a3426bc0fc334ca3ac5fa97742cb2aeb9ee9d3798a3f0786eb6ece,replacement METRIC-010 transition,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_mder_upstream_hold.md,3460,6785eceb8c722dbf60aaadb8b6a65ad1bd4f5e47f179edd8046343ef63ba6199,historical upstream hold and release record,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
audit/handoffs/H06_daily_shared_change_request.md,19129,6321ae8cd9129fba1aa5f40caa5ad1be475ddd3e6dee620dd5649e6f50a645cb,shared comparator provenance qualification,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
audit/handoffs/H06_daily_worker_handoff.md,34395,70482aaaa6c7de7554d54e2c193c3f4de1b6a2fb959ff64993e91cfb89550095,current worker handoff,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_mder_metric010_production_output_manifest.csv,3962,19d91fdc62c81cf342490a2197ba335eb751b26500df102c0d0e8cbebf3a119c,current production output manifest,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_mder_metric010_pre_gap_refresh_output_manifest.csv,3695,ce5659cf9717f6dafe1fafbba00eb81237fdc436725f1c434c76935f62dc5544,byte-identical pre-refresh production output manifest,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_mder_metric010_gap_refresh_output_manifest.csv,621,6f0a74dd44604e8bbaf6c092ac950c0fb425d8b9884222417932d167a7e2ad90,bounded gap-refresh output manifest,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_mder_metric010_reader_output_manifest.csv,1559,7d489d7fc9894a66eb6dcb1b493dbaa667645e69a8ee817055c541b7974ed1a7,reader artifact output manifest,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_mder_metric010_gap_refresh_provenance.csv,654,d97e1d859a58b8dfead6ee821417d98d413fad9fb2f7f9818ba7baa4d5eaaa46,bounded gap-refresh completion record,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
scripts/hypotheses/H06_daily/finalize_h06_daily_mder_metric010_gap_refresh.R,8803,25326123ab1fd48e646223a0e85a1355d66ea258da2deb07c0883dea8387e518,gap-refresh provenance finalizer,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,3026,5b13991c23fc982250409513292735eb207be0d1a0ce37d0f22940019b99c08a,report manifest builder,scripts/hypotheses/H06_daily/build_h06_daily_mder_metric010_report_manifest.R,4.6.1
