relative_path,sha256,bytes,role,producer,r_version
audit/hypotheses/H06_daily/07_pre_sleep_no_nugget_diagnostic.qmd,c613fb72617bec827d1cf1ebfdb346c1995de4a2ca37439983a85c925f838951,14989,executed no-nugget gate source,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
audit/hypotheses/H06_daily/07_pre_sleep_no_nugget_diagnostic.html,c0c335c6862cd018e414b767c17cc71236386cf266ea9e8b563b9189f36bae3a,1284197,self-contained no-nugget gate report,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_pre_sleep_no_nugget_authorization.md,0fa00e9ca5100b801538665290040795851ab619651d3a3a903d931a59c31a73,1650,immutable author authorization,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_pre_sleep_no_nugget_transition.md,9d2b1bede9ee54f89068ad69be4cf1ccc51dd753e53ba4da28b9169ae7aff3ba,4369,current no-nugget transition,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_daily_ar_repair_pilot_transition.md,db01390b51ba464d5aa5083af0f721498981f90ffd97b8b05c55613886f7e7d5,6969,parent daily AR repair transition,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
audit/handoffs/H06_daily_worker_handoff.md,70482aaaa6c7de7554d54e2c193c3f4de1b6a2fb959ff64993e91cfb89550095,34395,current worker handoff,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
audit/handoffs/H06_daily_shared_change_request.md,6321ae8cd9129fba1aa5f40caa5ad1be475ddd3e6dee620dd5649e6f50a645cb,19129,shared L10 implementation request,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
scripts/hypotheses/H06_daily/run_h06_daily_pre_sleep_no_nugget_diagnostic.R,1f2b41ecfcc4f1467ae48ed0e4ee24de3c0bcd259c0f98b4c6c7766f1b366b81,21174,executed one-fit script,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
scripts/hypotheses/H06_daily/finalize_h06_daily_pre_sleep_no_nugget_diagnostic.R,af4c843293db84bc026dc64ecff3f7460adbf86986f34344a59a96d841101193,12276,no-refit parameter-map finalizer,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
scripts/hypotheses/H06_daily/seal_h06_daily_pre_sleep_no_nugget_reference.R,26e99b8c3184a35f23f36ee6b35365c24464c5ae3ac67416170ce5ee7aa8d916,12931,no-refit standalone-reference sealer,scripts/hypotheses/H06_daily/build_h06_daily_pre_sleep_no_nugget_report_manifest.R,4.6.1
