relative_path,sha256,bytes,role,producer,authorization,gate,r_version
audit/decisions/h06_daily_non_l10_production_authorization.md,0818d1618daa49d38b60680bf9585b99f51db098b4f6f7c652f1970e7cd1c547,13723,controlling Stage 2 production authorization,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
audit/decisions/h06_daily_timing_repair_acceptance.md,739c654b9920f08b7da44fe3ecd667cfd30eb56fece91a3efae137c256623869,5003,accepted timing-route qualifications,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
audit/decisions/h06_daily_non_l10_grid_reopening.md,0c16d2c89d79aa25a7e8bcfb0404a653186108232c93222af0a3c60695d3cdaa,8846,complementary daily-grid reopening,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
audit/decisions/h06_primary_selection_and_daily_complement.md,c5c08a454ba94a4d955d9821be50b422b697d779b2b5ec921a316c508dd248c1,3629,hourly-primary and daily-complement role selection,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
audit/hypotheses/H06_daily/12_stage2_production.qmd,fe7cf5d59c0ed659376ca33c574c4e50e2553814041d3eda1373a3925f6c7b11,41732,Stage 2 author-gate source,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
audit/hypotheses/H06_daily/12_stage2_production.html,ea40d732586f92dedf1945e587ad75dea6ab4c402321d9b981be9ddade818c1e,2097236,self-contained rendered Stage 2 author gate,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
audit/hypotheses/H06_daily/H06_daily_stage2_production_transition.md,835aa7d2c95d1493f6ad33354cd3f3f34238f791ad5048eaa173ee009f5d84b2,6298,task transition and mandatory stop record,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_production_input_manifest.csv,96f77b38a8f7912648ad62ea52040b3ac488ae2a96ea42cdc3803c7042e29f73,9408,sealed current-source and decision inputs,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_production_main_h06_pins.csv,1b11d67943679b8c4e59340831375e7852dfb01b3f52c94584e1944ff408960e,1309,frozen main-H06 identity pins,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_production_code_manifest.csv,ea23080460b56fdd26d0a7ffc01e6a49ffee345e6b055381607d1b1107e19380,4026,sealed production code identities,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_production_output_manifest.csv,63c6e873c35bcef3b2a12600da27e10dc1097cf43e14be96dee838ce15d4e7e1,271899,sealed scientific-output identities,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_production_figure_manifest.csv,144072abef7df3fa6460d87011279a33ad1e993cd461fd7ca79b8db2d6f1ec7d,1051,paired figure and source-data identities,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_production_software_manifest.csv,7758d15f3a24249138046f80146827ddc2f2e2c7674f0791d31f31b13b8c839b,1090,authoritative software identities,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_non_l10_production_state.rds,9da335ca38dad72fa8ae1e88a2f4ae0659f86fa8455252a59f14851fb137adf2,737,terminal report-ready analytical state,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_non_l10_production_preservation_final.csv,f023dd1a850d5cd780a7a9d922a0861fb99c5cb0c14043cb557a96ad6bee5424,183675,pre-render protected-history verification,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_non_l10_production_preservation_at_gate.csv,bf5d94a6073e62a1a6d5d84bc5ad3ac038cd13d231224f353057fc6879b77c24,178603,post-render H06-D-G2 protected-history verification,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/09_tables/H06_daily/H06_daily_non_l10_production_primary_results.csv,ebeb992e2439520b36254b2a309dcdf2e3c4aacbccdb189e6813abd86756a2ee,46265,primary near-eye estimates and pointwise intervals,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/09_tables/H06_daily/H06_daily_non_l10_production_bh_families.csv,f8321269b3e9c062f48f53eb957b025d2b18114638c5ae7e665291bc914fb462,121944,twelve complete named 15-slot BH families,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_non_l10_production_diagnostic_assessment.csv,11537993b155b5a2840d0478b2fe0b828d970b3ae2d8e7899706d67f5dd4003f,660675,complete cell-level diagnostic verdicts,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
tests/hypotheses/H06_daily/test_h06_daily_non_l10_production.R,35514b6eeeddec1db719b3da6d3805ba5499fe1b02502a62c72ebbaf95f5cd97,8562,focused H06-D-G2 verifier,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,f388cd7534d88309d47fa5478c6869bcc620e4c7672621f81c5ccee0eaedba3a,4963,non-circular report finalizer,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_production_report.R,H06-D-013,H06-D-G2,4.6.1
