role,relative_path,pre_sha256,pre_bytes,protection_requirement
controlling_order,audit/report_harmonization/owner_orders/21_h06_daily_baked_figure_labels.md,30fa855f2039002bb24a06a4ce905c48ab000effc261f29957330275d2afc95f,4679,byte_identical
accepted_stage3_qmd,notebooks/hypotheses/H06_daily.qmd,01213a193515c49419dcd1ed9cffcc070a88d639a7382e218275a89bd704cb08,65344,byte_identical
accepted_stage4_qmd,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709,35409,byte_identical
main_h06_result_source,notebooks/hypotheses/H06.qmd,692c28ce165eda27e0b85dbb73f2e834a31a188ae8eefe9f1391980bd5641459,56355,byte_identical
main_h06_companion_source,audit/hypotheses/H06/H06_analysis_preparation.qmd,205eac1ee6d878353a2b23c3741e18ef7480765882d6e0baad0808963b3aa731,55895,byte_identical
shared_quarto_profile,_quarto-nathealth.yml,b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5,7031,byte_identical
shared_quarto_config,_quarto.yml,44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c,2517,byte_identical
synchronized_library_lock,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,byte_identical
site_display_registry,config/site_display_registry.csv,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,295,byte_identical
frozen_figure_source,artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv,12193a0a1795fe478bf4829a3986c2b1290510038e4c4aed59aa7e61714bcbcc,85705,byte_identical
protected_svg,artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.svg,b23f9a6838c2ecc476bdb5e68c203e0c7a85d05479a65841f75ee02d21e20b1c,72789,byte_identical
historical_alt_text,artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure_alt_text.csv,a8be1b85d4c0c98922b98080148dcd87b43a28a3ee1fe6a1c55b979c1791200f,794,byte_identical
accepted_site_estimates,artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv,d4809ef5b023d895200c4591bb8530434e43223b9b2c9fcedae2302dbb69e3cd,103219,byte_identical
accepted_site_summary,artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_summary.csv,fcf06bc9247f318d6db5fa7e82c6a4cf4524a7a75dd24193fe6aa1391bcd8a0a,24630,byte_identical
accepted_primary_results,artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_results.csv,c81af8827137259ab6bd6c8188971039ddd8e2aca71827a50a0ae94f2ea19e9a,42211,byte_identical
accepted_fdr_families,artifacts/09_tables/H06_daily/H06_daily_gap_clock_repair_bh_families.csv,773e299346cbed58a4b3385f91ae58e3eb7effaba7d0b02353d595e06fc3232c,255089,byte_identical
accepted_cell_classification,artifacts/08_diagnostics/H06_daily/H06_daily_gap_clock_repair_h01_classification.csv,e7aa89e35d7857fc167940fab6f6e2113b22b47932e90a62e57c5aaf271f2d40,1437318,byte_identical
accepted_source_data_manifest,artifacts/12_manifests/H06_daily/H06_daily_stage3_source_data_manifest.csv,77cd39b759a0bb46505c71db34f9b38818848531491f69afc7d67bf4dd8dc3ed,6424,byte_identical
accepted_output_manifest,artifacts/12_manifests/H06_daily/H06_daily_stage3_output_manifest.csv,7c7658fca61687b0124f0f49a1b773fd1a101af7a5e6be641cd1adc2eb09c01e,14087,byte_identical
historical_figure_qa,artifacts/12_manifests/H06_daily/H06_daily_stage3_revision_figure_readability_qa.csv,75f3e82a7fcfa6b846fbb13b5441d892767b322073222bd7b6d433ecfa318064,5315,byte_identical
accepted_broad_builder,scripts/hypotheses/H06_daily/build_h06_daily_stage3_revision_inputs.R,c8637cd229f8955729950ca59970926e705c38d0c3b9f025665bb6b862600aca,46872,byte_identical
main_h06_core_effects,artifacts/09_tables/H06/H06_robust_core_effects.csv,3b23890248665c5ebd9fa0b7914a5cad1a43cea3ae63f29723590de2f3674440,9881,byte_identical
main_h06_wald_tests,artifacts/09_tables/H06/H06_robust_wald_tests.csv,43c370cb42ca4b82fb55d72bdb5c288b3c3798fbce8277d1de71e6d5d4465e93,3477,byte_identical
main_h06_site_screen,artifacts/09_tables/H06/H06_stage3_site_specific_significance_screen.csv,dacc1b3a1d92c0900f440a54ea9cb165bf1945563100eb29337e6e23f701b297,48691,byte_identical
referenced_fit_001,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_001_e47e62d0e412edaf1721265ec3ce5e53a1d94ba423b6058e87e997f22850af75.rds,7dc7da03678214f41d91adafaaa2b0499089c3ddfd7386769fa8cf42b69c5471,584221,hash_only_no_load
referenced_fit_013,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_013_7db3af6a199eae6e6b3449de5e402143a4eddeabbd69504a30da556af8251789.rds,c55a3d0db09dfe50b06b2d10fc4f30f8a2b2df3491b761c80f3c46c8c1fafdb8,571435,hash_only_no_load
referenced_fit_037,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_037_d66bc3a4798ad0fc436ff534ab9603c1c23a0e23473a375c170c2aa441012ad2.rds,2a87515e31492c94a64a57823eae5ded838d5292fb02f436b100a95a69902b27,583725,hash_only_no_load
referenced_fit_061,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_061_ae858b0d4517317cc82602b01bb9e1cfebddec6c6612c7b01a1c0fe742269095.rds,88e106aee53281ac2b0658bc6c82270b77ce933f92d5bb8a22353ce893a546ea,653029,hash_only_no_load
referenced_fit_073,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_073_3469add9dddf031b275f263cd4c22e41ff56a1fee77da7c141a0f70f3085443d.rds,2437057dc805eff9025d09d2b6ba6ba041c33379872783502c92b8040a9bd3bb,1075574,hash_only_no_load
referenced_fit_109,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_109_5b7d1e7ca8eecb546795236230c5d769f64a06c7abc3e90159fb937ccda7bd5d.rds,1d00e82203da3a2d8c1dbc5b1b1c8648ac63f05bfe92a160e04009b004769cc0,1069954,hash_only_no_load
referenced_fit_181,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_181_20081b762408b1c90759341cda2306645802ba5b87a62f1e0ed057336991d4fb.rds,a137749d672a671f6c3c7347ecd35c487a1f41fc372ebe8b634944046363d9d3,1078130,hash_only_no_load
referenced_fit_217,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_217_3dae245f2b7bb4fc4a1fe86aeee12a44a6521aa90b92c38d2b0b994f132b31ca.rds,7fde50f59f059e8c005848f260fed710e77ca50cda482253b0dd596d9f86fcd5,535217,hash_only_no_load
referenced_fit_433,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_433_7eb0b5946352d34c06b85044addbba0416ccae387049bb5e15de4b74bdb63b09.rds,0e79b14fb68f70f030e4aab60e8a5211345009fd9f9835980e79f40491ca42cd,572716,hash_only_no_load
referenced_fit_445,artifacts/07_models/H06_daily/H06_daily_non_l10_production_cells/cell_445_2ba6c28e694e189774b62d68f10c4575f073714e2b2554b9d40001a40461f19f.rds,6e9fd6957305e0eeb6c1c54d076d4bb291b5b3d84fb837705d58ee04c4180686,559618,hash_only_no_load
