relative_path,sha256,bytes,role,producer,r_version
audit/decisions/h06_primary_selection_and_daily_complement.md,c5c08a454ba94a4d955d9821be50b422b697d779b2b5ec921a316c508dd248c1,3629,primary/complementary role decision,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
audit/decisions/h06_daily_non_l10_grid_reopening.md,0c16d2c89d79aa25a7e8bcfb0404a653186108232c93222af0a3c60695d3cdaa,8846,bounded pilot authorization,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
audit/hypotheses/H06_daily/10_non_l10_pilot.qmd,62216bea76e8be35e98811a60f24aa7a8690f0a744ec3c6a0af80feb56b38df7,21137,author gate source,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
audit/hypotheses/H06_daily/10_non_l10_pilot.html,5376bdbc4de565a514386190f8ccf0c224b685e90bb50fe6a42e998cd8351c15,1483931,rendered author gate,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_non_l10_pilot_transition.md,4d9741f420d485fc7ccd6190d174c7502d27fb876d30ce6e827a24cee2149aa3,4275,task transition and stop state,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_non_l10_pilot_contract.R,d3d408b09d9c9e34ec6c80499108ecdefcbe715cb8ea5ca390d33da6cdf57e46,15209,pilot scientific contract,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_non_l10_pilot_data.R,42893a9bd8b5ccdd38bb44ed22893e6b6d2e58e69d428ed161d38d05c31e86b1,20955,current-source and frame construction code,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_non_l10_pilot_modeling.R,8fba57f9ec13e5e70784d3e2908010886f6446f2b57afbda9b496f93bf7719de,25159,model and diagnostic code,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
scripts/hypotheses/H06_daily/run_h06_daily_non_l10_pilot.R,94e18ec4207f88b8fba89858150d584433e8d6e57737957e18c3b920541cff97,42711,bounded pilot runner,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
scripts/hypotheses/H06_daily/postprocess_h06_daily_non_l10_pilot.R,b28c02d0497d2ac52fe3d915a688edc9b5bb10ade6a884c65649ae24c85464c2,7473,no-refit runtime correction and manifest reseal,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,9e5e49dbfce5a27cccf26f2ff00759718e701c846185d22d752bc4ab19ba2e48,3657,non-circular report-manifest sealer,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
tests/hypotheses/H06_daily/test_h06_daily_non_l10_pilot.R,e279817cc0eeed6847358849370d16fc2d61f6335004ae38a843aed5a31a172c,11265,focused no-refit verifier,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_pilot_input_manifest.csv,a4613f15ead70d48e2266ed4e8096d22cdc40caa7e728b5715fd32ccfc116b50,7085,sealed input identities,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_pilot_code_manifest.csv,af3933b372755f3baae684f44f659bbe8bb3a35b4b5aabd7989a5f842221e7cb,1324,sealed code identities,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_pilot_output_manifest.csv,00117b46ca4b30afce01009ec675e633a7c217a17d5a0f6e436cba847d57ad06,6618,sealed scientific-output identities,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_non_l10_pilot_software_manifest.csv,a200791a4ccc8b0d60cd1d8a2de26012f061e635d9e002ef74f235e8606a3c26,571,authoritative software identity,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_non_l10_pilot_verdict.csv,55ea5e72e2787a80ddda64e6447e299aadf9d6d7234546e144e02ffdac38fde1,434,pilot stop-gate verdict,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
artifacts/08_diagnostics/H06_daily/H06_daily_non_l10_pilot_preservation_final.csv,f785907fb8bbb0069e517075efc239cc5f57cb2e0ee0f2dee0da3a7322a57fb9,131372,protected historical identity evidence,scripts/hypotheses/H06_daily/finalize_h06_daily_non_l10_pilot.R,4.6.1
