relative_path,sha256,bytes,role,producer,r_version
audit/hypotheses/H06_daily/09_l10_shiftlog_pilot.qmd,7cf38c446a6bb769abcfe6ce07a70a1df153145ef8cdbe6cc37c0bec65d54480,23383,author-gate Quarto source,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
audit/hypotheses/H06_daily/09_l10_shiftlog_pilot.html,15655a82cf165b6fa927197519a50c552e85e2aa8d7048ab119509836c9c4581,1508962,self-contained author-gate HTML,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
audit/hypotheses/H06_daily/H06_daily_l10_shiftlog_pilot_transition.md,0941cfb61c811ab8b850ecb1fb9cb1569812d00830c4064e597b79f3fa7a3350,5578,H06-D-G2P-L10-SHIFTLOG stop-gate transition,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
audit/handoffs/H06_daily_worker_handoff.md,70482aaaa6c7de7554d54e2c193c3f4de1b6a2fb959ff64993e91cfb89550095,34395,current H06_daily worker handoff,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_l10_shiftlog_contract.R,428062895116acb58dbf7f464c236cb528663d30e0c84f77c55e27aae5e6a5a9,8398,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_l10_shiftlog_data.R,4d54970d62359e7be5047ea429a8fa6807b771c6e4259051589a525630bb6107,8864,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
scripts/hypotheses/H06_daily/h06_daily_l10_shiftlog_modeling.R,bba6e80c5e4c7af5f38d3904e3eb7595701c4861a518fc94341bb42e72253f7b,24839,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
scripts/hypotheses/H06_daily/audit_h06_daily_l10_shiftlog.R,ae76d7ad5c371658a36ca7c6e436d18b3f223a13f9587141f83e88fd9caa9c06,12173,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
scripts/hypotheses/H06_daily/run_h06_daily_l10_shiftlog_pilot.R,68cda2b33a21a4468ea072eccf92e2bf1408788e822c249667d0219dec11f661,31976,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,8d32dec2fe8a83b8c60f1917b536126d2335bf82a3f90bc9b2ec076ecdc897f1,10588,executed or verification code,scripts/hypotheses/H06_daily/build_h06_daily_l10_shiftlog_pilot_manifests.R,4.6.1
