relative_path,role,sha256,bytes,scope,stop_gate,r_version
audit/decisions/h06_daily_stage2_acceptance_stage3_transition.md,Central transition authorizing the complementary reader result,26e3cf5302db74156a2ad929a80a1352eac6967ccf0e0e1adb5cdcfa71b9954e,6339,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
audit/hypotheses/H06_daily/H06_daily_stage3_acceptance_stage4_transition.md,Task-local acceptance and bounded preparation transition,80d52eea0d175c55098f5aaa716f0d37f5ba4ff532aca5c35fd94a4912549c67,2642,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
audit/hypotheses/H06_daily/H06_daily_stage3_revision_gate.md,Accepted complementary results-report record,733dd1dd4c57bfdb6df7bf10e69e635455c451373c8dd0f6e3060c12b6e3884e,9117,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
notebooks/hypotheses/H06_daily.qmd,Complementary results-report source,0318fd6cf874380631296d35095486b9de7f987a9779e4dc5d59c5a635a8c3dc,61938,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
notebooks/hypotheses/H06_daily.html,Complementary results-report HTML,5a20c0680011be17111f72bb6b15aed6a4f4700c8866a13ea6dcf49a589fcce3,3617976,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,Preparation companion source,fdfe94cf96e16ecfff3455c3e2427bd94c6419ee62350211a724821870058c0e,33731,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,Preparation companion HTML,7f3adfd0d80c9e083baa34f6aa056bc12e0a30e233f786fbc55a6ad6ac176259,4613650,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
scripts/hypotheses/H06_daily/build_h06_daily_preparation_artifacts.R,Preparation artifact builder,3196d183e35b3c9b206bfb181cd3a53f5657017d3f8877102a05304761eca1ca,39366,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
scripts/hypotheses/H06_daily/seal_h06_daily_preparation.R,Preparation provenance sealer,14b034188a77d1090e764264382b8a27c84ac6bb9771fe77c54301f55d922115,17551,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
tests/hypotheses/H06_daily/test_h06_daily_preparation_report.R,Focused preparation verification,4fbf8ba28dc957295ec5c90e42247f644c0010b3097195652d1e260fb6bdc2a0,10471,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_preparation_source_data_manifest.csv,Preparation source-data manifest,19f441e87912962c7d60268899511c1f3a8e4c318502a6ed1c79e7e8e125f8ba,4878,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_preparation_software_manifest.csv,Preparation software manifest,25f547ccf47c8c3afc75d9b43dc457fe41d4bac7e2e9cf16baf710f7384d95e9,2047,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_preparation_figure_readability_qa.csv,Preparation figure-QA manifest,ae5dbb7a2a9f7f0dc47a60297e6bc9a244d103859186748756797332942dba45,1603,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_preparation_render_qa.csv,Preparation render-QA manifest,840fdaef6c31a51e2aabd6727a60b66a8a9df54cb0199b4a6c018c3080ea22de,1916,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
artifacts/12_manifests/H06_daily/H06_daily_preparation_output_manifest.csv,Preparation output manifest,50461464c788a882635809881638856dde8b6f16a8593eb0fa76194be9feb190,8334,Bounded H06_daily preparation and provenance companion,H06-D-G4,4.6.1
