"check","pass"
"PRIMARY-ANY_complete_driver",TRUE
"PRIMARY-ANY_14_construction_checks",TRUE
"PRIMARY-ANY_immediate_raw_checkpoint",TRUE
"PRIMARY-ANY_raw_return_unmodified",TRUE
"PRIMARY-ANY_fit_status_not_overall_gate",TRUE
"PRIMARY-ANY_M1_false_retained",TRUE
"PRIMARY-ANY_15_exact_non_circular_members",TRUE
"PRIMARY-80_complete_driver",TRUE
"PRIMARY-80_14_construction_checks",TRUE
"PRIMARY-80_immediate_raw_checkpoint",TRUE
"PRIMARY-80_raw_return_unmodified",TRUE
"PRIMARY-80_fit_status_not_overall_gate",TRUE
"PRIMARY-80_M1_false_retained",TRUE
"PRIMARY-80_15_exact_non_circular_members",TRUE
"source_manifest_stops_before_diagnostics",TRUE
"driver_hash_stops_before_diagnostics",TRUE
"duplicate_job_stops_before_diagnostics",TRUE
"missing_job_stops_before_diagnostics",TRUE
"seed_stops_before_diagnostics",TRUE
"missing_status_stops_before_diagnostics",TRUE
"duplicate_fit_stops_before_diagnostics",TRUE
"NA_status_stops_before_diagnostics",TRUE
"empty_status_stops_before_diagnostics",TRUE
"wrong_model_stops_before_diagnostics",TRUE
"existing_output_stops_before_diagnostics",TRUE
"return_status_stops_with_checkpoint",TRUE
"return_missing_status_stops_with_checkpoint",TRUE
"export_stops_with_checkpoint",TRUE
"construction_stops_with_checkpoint",TRUE
"exact_six_change_reverse",TRUE
"author_driver_unchanged",TRUE
"scientific_interface_unchanged",TRUE
