placement,site,activity,architecture,support_rule,reporting_status,cell_mean_lx,cell_conf_low_lx,cell_conf_high_lx,category_standardized_mean_lx,site_deviation_ratio,site_deviation_conf_low,site_deviation_conf_high,site_deviation_p_raw,activity_code,activity_display_order,site_display_name,site_display_order,site_color_hex,unique_participant_hours,long_rows,effective_weighted_hours,participants,shared_with_home_participants,family_id,family_n,site_deviation_p_adjusted
Near-eye,RISE,Sleeping,five_named,TRUE,ESTIMABLE,1.9445995482110818,0.9141534466840658,4.136578401163793,4.2807411444555425,0.4542670258699819,0.2154618875671965,0.9577495728955842,0.03831057730138008,sleeping,1,Borås (SE),1,#88CCEE,635,635,611.1666666666666,13,13,H04-F4,44,0.08428327006303618
Near-eye,THUAS,Sleeping,five_named,TRUE,ESTIMABLE,4.999302991406416,2.11332436778985,11.826405250805523,4.2807411444555425,1.1678592147253664,0.5089477103088396,2.679833542411088,0.7121966899867789,sleeping,1,Delft (NL),2,#117733,546,546,531.5,13,13,H04-F4,44,0.7971404145728839
Near-eye,BAUA,Sleeping,five_named,TRUE,ESTIMABLE,19.39058289766822,4.960409402569014,75.79912757132797,4.2807411444555425,4.529725634726382,1.299710657315303,15.786909348177842,0.018120344924210104,sleeping,1,Dortmund (DE),3,#DDCC77,845,845,839.5,18,18,H04-F4,44,0.048285487967852904
Near-eye,MPI,Sleeping,five_named,TRUE,ESTIMABLE,1.6361786653289647,0.6779442149632502,3.948821401216309,4.2807411444555425,0.38221854817083706,0.16389730320577822,0.8913570614545172,0.026332533016569112,sleeping,1,Tübingen (DE),4,#DDCC77,591,591,583.5,13,13,H04-F4,44,0.06098060277521268
Near-eye,TUM,Sleeping,five_named,TRUE,ESTIMABLE,44.810164202826215,18.13019124830067,110.75177246530434,4.2807411444555425,10.467851872067708,4.402853949917579,24.88747618294327,3.759030120071693e-7,sleeping,1,Munich (DE),5,#DDCC77,498,498,497,10,10,H04-F4,44,5.513244176105149e-6
Near-eye,FUSPCEU,Sleeping,five_named,TRUE,ESTIMABLE,3.3494910337691164,0.7383882828261046,15.19402521172167,4.2807411444555425,0.7824558693784626,0.1977679890045556,3.0957345048935236,0.7246731041571671,sleeping,1,Madrid (ES),6,#CC6677,1079,1079,1074,22,22,H04-F4,44,0.7971404145728839
Near-eye,IZTECH,Sleeping,five_named,TRUE,ESTIMABLE,6.895828555761117,4.00897932869364,11.861485822613563,4.2807411444555425,1.6108959460659427,0.8975822336452354,2.8910841277606467,0.10916265059560885,sleeping,1,Izmir (TR),7,#332288,791,791,767,16,16,H04-F4,44,0.18473679331564574
Near-eye,UCR,Sleeping,five_named,TRUE,ESTIMABLE,2.1443166581379227,0.8478862434887359,5.423008057600211,4.2807411444555425,0.5009218230621729,0.2067872529678926,1.2134339482661005,0.12453967794001448,sleeping,1,San José (CR),8,#44AA99,260,260,255,6,6,H04-F4,44,0.1964613248644676
Near-eye,KNUST,Sleeping,five_named,TRUE,ESTIMABLE,0.7051455073925063,0.2639126708176654,1.88407091275798,4.2807411444555425,0.1647250986679766,0.06500805895219917,0.4173999126958502,1.9524931197833665e-4,sleeping,1,Kumasi (GH),9,#AA4499,661,661,661,15,15,H04-F4,44,0.001227281389578116
Near-eye,RISE,At home,five_named,TRUE,ESTIMABLE,132.65426961730915,68.5850957323112,256.5740422144156,76.35806700009805,1.7372659475146066,0.9364419177411613,3.2229366447776258,0.0793632069121499,home,2,Borås (SE),1,#88CCEE,667,667,609.5000000000001,13,13,H04-F4,44,0.15182526539715635
Near-eye,THUAS,At home,five_named,TRUE,ESTIMABLE,157.78305988785897,99.02619536548175,251.40311506154956,76.35806700009805,2.066357440500116,1.303582181380901,3.2754613655328595,0.002259408824814089,home,2,Delft (NL),2,#117733,525,525,494.3333333333333,13,13,H04-F4,44,0.009037635299256356
