run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,omitted_participant,maximum_absolute_dfbeta,maximum_dfbeta_term,refit_status,refit_error
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,TUM::TUM_S003,0.7792003358236833,site7,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,TUM::TUM_S009,0.7559634101421732,site7,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,KNUST::KNUST_S013,0.5913974309076508,site4,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,IZTECH::IZTECH_S001,0.4686138363407795,site3,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,BAUA::BAUA_S016,0.3963095978683186,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,FUSPCEU::FUSPCEU_S004,0.4508218880698564,site2,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,THUAS::THUAS_S007,0.18500090837572397,site6,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,KNUST::KNUST_S001,0.00283112701890078,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,UCR::UCR_S013,0.00304031515442353,photoperiod_centered_hours,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,TUM::TUM_S005,0.9203734889724812,site7,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,BAUA::BAUA_S009,0.4249820502495939,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,KNUST::KNUST_S005,0.6497104366779526,site4,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,THUAS::THUAS_S007,0.24929443344148663,site6,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,BAUA::BAUA_S006,0.0257009501323101,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,UCR::UCR_S038,0.0333816728057354,(Intercept),PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,KNUST::KNUST_S005,0.7459212064248214,site4,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,BAUA::BAUA_S009,0.4248803428193405,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,FUSPCEU::FUSPCEU_S018,0.3861793929697704,site2,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,KNUST::KNUST_S001,0.2933099747742219,site4,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,KNUST::KNUST_S004,0.6177823005546315,site4,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,UCR::UCR_S003,0.06845172824530031,(Intercept),PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,IZTECH::IZTECH_S013,0.820474328976372,site3,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,IZTECH::IZTECH_S011,0.8016361537108544,site3,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,THUAS::THUAS_S020,0.7681159838079092,site6,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,UCR::UCR_S025,0.01165558295328006,site7,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,UCR::UCR_S007,0.02094674248706755,(Intercept),PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,FUSPCEU::FUSPCEU_S004,0.38066264132523536,site2,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,TUM::TUM_S009,0.7860550047491183,site7,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,BAUA::BAUA_S008,0.3728191496169549,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,TUM::TUM_S003,0.725133843746083,site7,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,THUAS::THUAS_S001,0.3840026027621538,site6,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,UCR::UCR_S025,0.0112023986536212,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,FUSPCEU::FUSPCEU_S012,0.07863939152171205,site2,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,BAUA::BAUA_S008,0.5109397715378464,site1,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,UCR::UCR_S017,0.13440387770826148,(Intercept),PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,FUSPCEU::FUSPCEU_S018,0.3149619575997099,site2,PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,UCR::UCR_S018,0.00974543444735458,(Intercept),PASS,
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,BAUA::BAUA_S017,0.2863610100419011,site1,PASS,
