"domain","check_id","pass","detail"
"owner stop","non_circular_manifest",TRUE,"exact=67/67"
"identity","rendered_result_and_held_scopes",TRUE,"exact=16/16"
"semantic","exact_reverse_and_reapplication",TRUE,"tables=15 ids=146 headers=229 substitutions=375"
"DOM","endpoints_headers_alt_and_no_errors",TRUE,"tables=15 figures=8 ids=271 header_tokens=584 errors=0"
"rendered contract","three_exact_historical_to_accepted_literal_transitions",TRUE,"accepted=3/3; full precision remains in frozen source data only"
"test transition","exact_three_hunk_postimage_and_reverse",TRUE,"b0af27946d6c4001e659e9edb27bfab0fdfd3a36aa8be536d51ed50ae234a3c0/16783 reverse=TRUE"
"downstream replay","complete_postrender_checker",TRUE,"status=0 checks=14/14"
"build","exact_three_path_render_delta_and_live_state",TRUE,"pre=1180 post=1180 delta=3 live_files=871 symlinks=0"
"protection","all_protected_and_scientific_inputs_unchanged",TRUE,"exact=336/336 science=193"
"environment","sass_cache_unchanged",TRUE,"exact=25/25"
