"table_index","token","matches","resolves_to_th"
1,"tbl-h11-primary-samples--gt-0008",1,TRUE
1,"tbl-h11-primary-samples--gt-0002",1,TRUE
1,"tbl-h11-primary-samples--gt-0008",1,TRUE
1,"tbl-h11-primary-samples--gt-0003",1,TRUE
1,"tbl-h11-primary-samples--gt-0008",1,TRUE
1,"tbl-h11-primary-samples--gt-0004",1,TRUE
1,"tbl-h11-primary-samples--gt-0008",1,TRUE
1,"tbl-h11-primary-samples--gt-0005",1,TRUE
1,"tbl-h11-primary-samples--gt-0008",1,TRUE
1,"tbl-h11-primary-samples--gt-0006",1,TRUE
1,"tbl-h11-primary-samples--gt-0008",1,TRUE
1,"tbl-h11-primary-samples--gt-0007",1,TRUE
1,"tbl-h11-primary-samples--gt-0009",1,TRUE
1,"tbl-h11-primary-samples--gt-0002",1,TRUE
1,"tbl-h11-primary-samples--gt-0009",1,TRUE
1,"tbl-h11-primary-samples--gt-0003",1,TRUE
1,"tbl-h11-primary-samples--gt-0009",1,TRUE
1,"tbl-h11-primary-samples--gt-0004",1,TRUE
1,"tbl-h11-primary-samples--gt-0009",1,TRUE
1,"tbl-h11-primary-samples--gt-0005",1,TRUE
1,"tbl-h11-primary-samples--gt-0009",1,TRUE
1,"tbl-h11-primary-samples--gt-0006",1,TRUE
1,"tbl-h11-primary-samples--gt-0009",1,TRUE
1,"tbl-h11-primary-samples--gt-0007",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0002",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0003",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0004",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0005",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0006",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0007",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0008",1,TRUE
2,"tbl-h11-global-tests--gt-0010",1,TRUE
2,"tbl-h11-global-tests--gt-0009",1,TRUE
2,"tbl-h11-global-tests--gt-0011",1,TRUE
2,"tbl-h11-global-tests--gt-0002",1,TRUE
2,"tbl-h11-global-tests--gt-0011",1,TRUE
2,"tbl-h11-global-tests--gt-0003",1,TRUE
2,"tbl-h11-global-tests--gt-0011",1,TRUE
2,"tbl-h11-global-tests--gt-0004",1,TRUE
2,"tbl-h11-global-tests--gt-0011",1,TRUE
2,"tbl-h11-global-tests--gt-0005",1,TRUE
2,"tbl-h11-global-tests--gt-0011",1,TRUE
2,"tbl-h11-global-tests--gt-0006",1,TRUE
