"check","expected","status"
"owner_seal","54/54","PASS"
"execution_inputs","2174/2174","PASS"
"stage1","89/89","PASS"
"historical_protected","2066/2066","PASS"
"all_stopped_files","56/56","PASS"
"historical_implementation","23/23","PASS"
"saved_derivative_schema","4 named finite pairs","PASS"
"saved_derivative_reconciliation","componentwise <1e-12","PASS"
"finite_scalar_threshold","finite max <1e-4","PASS"
"negative_schema_tests","10/10 rejected","PASS"
"nonderivative_validation","14/14","PASS"
"saved_probability_moment_records","24/24","PASS"
"versioned_driver_forward_reverse","exact single gate-interface change","PASS"
"standalone_gate_sandbox","PASS","PASS"
"both_primary_gate_paths_no_fit","2/2","PASS"
"two_jobs_reaped_and_no_lock","PASS","PASS"
"runtime_preserved","11.036231749982107","PASS"
"no_primary_or_estimand_outputs","absent","PASS"
"stopped_history_postcheck","54/54","PASS"
