"check","pass"
"Exact owner return, manifest and seal identities",TRUE
"Non-circular 507-member owner seal",TRUE
"Owner members unique and exclude manifest and seal",TRUE
"507 current owner members reproduced directly without aliases",TRUE
"Released order and three release-manifest identities",TRUE
"Four historical source aliases retained",TRUE
"Sole new helper preimage and postimage exact",TRUE
"Exactly five path-and-version-specific source aliases",TRUE
"All eight cache states exact with no new transition",TRUE
"Historical evidence has 4339 passing source rows",TRUE
"7347 independently resolved historical and current rows exact",TRUE
"Pinned runtime bytes unchanged",TRUE
"Exactly six frozen execution input pins",TRUE
"Six current execution inputs match the sole released override",TRUE
"Thirteen frozen command arguments",TRUE
"29 exact table PNG parts from 19 keys",TRUE
"22 exact SVG source-copy pairs used in 23 appearances",TRUE
"All three sealed completed outputs unchanged",TRUE
"57 passing owner R checks retained",TRUE
"12 passing independent owner OOXML checks retained",TRUE
"64 prior independent Harmonizer checks and five nested evidence pins unchanged",TRUE
"Explicit non-NA named heading-style guard retained",TRUE
"Recorded assembly and embedding each one successful invocation",TRUE
"No visual acceptance or canonical promotion claimed",TRUE
