"check","observed","expected","pass"
"selection_asset_manifest_rows","37","37",TRUE
"selection_asset_manifest_unique_paths","0","0",TRUE
"selection_asset_manifest_live_exact","37","37",TRUE
"selected_table_fragment_manifest_exact","audit/manuscript_nature_health/figure_table_selection_assets/tbl-participant-site-manuscript.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-main-adherence.html;audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-recommendation-context.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html;audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h01-primary-publication-summary.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h07-near-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-daily-primary-matrix.html;audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-person-level-synthesis-gt-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-a.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-b.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h08-near-eye-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h09-near-eye-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h10-main-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h11-global-tests.html","audit/manuscript_nature_health/figure_table_selection_assets/tbl-participant-site-manuscript.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-main-adherence.html;audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-recommendation-context.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html;audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h01-primary-publication-summary.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h07-near-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-daily-primary-matrix.html;audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-person-level-synthesis-gt-candidate.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-a.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h05-near-results-b.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h08-near-eye-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h09-near-eye-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h10-main-results.html;audit/manuscript_nature_health/figure_table_selection_assets/tbl-h11-global-tests.html",TRUE
"table_preview_semantic_summary_rows","20","20",TRUE
"table_preview_semantic_endpoint_order","tbl-participant-site-manuscript;tbl-plan-brown-main-adherence;tbl-plan-h01-metric-synthesis-candidate;tbl-plan-descriptive-sample-flow;tbl-near-eye-metrics;tbl-recommendation-context;tbl-plan-brown-cross-window-associations;tbl-plan-h02-glasses-variation-shapley-gt-candidate;tbl-plan-h02-chest-variation-shapley-gt-candidate;tbl-h01-primary-publication-summary;tbl-h07-near-results;tbl-h06-primary-effects;tbl-h06-daily-primary-matrix;tbl-plan-person-level-synthesis-gt-candidate;tbl-h05-near-results-a;tbl-h05-near-results-b;tbl-h08-near-eye-results;tbl-h09-near-eye-results;tbl-h10-main-results;tbl-h11-global-tests","tbl-participant-site-manuscript;tbl-plan-brown-main-adherence;tbl-plan-h01-metric-synthesis-candidate;tbl-plan-descriptive-sample-flow;tbl-near-eye-metrics;tbl-recommendation-context;tbl-plan-brown-cross-window-associations;tbl-plan-h02-glasses-variation-shapley-gt-candidate;tbl-plan-h02-chest-variation-shapley-gt-candidate;tbl-h01-primary-publication-summary;tbl-h07-near-results;tbl-h06-primary-effects;tbl-h06-daily-primary-matrix;tbl-plan-person-level-synthesis-gt-candidate;tbl-h05-near-results-a;tbl-h05-near-results-b;tbl-h08-near-eye-results;tbl-h09-near-eye-results;tbl-h10-main-results;tbl-h11-global-tests",TRUE
"table_preview_semantic_reverse","20","20",TRUE
"table_preview_semantic_ledger_rows","259","259",TRUE
"table_preview_semantic_supported_scope","headers,id","headers,id",TRUE
"accepted_output_rows","13","13",TRUE
"accepted_output_endpoint_uniqueness","0","0",TRUE
"accepted_output_inventory_live_exact","13","13",TRUE
"h09_source_ready_transition_is_explicit","Owner-verified H09 source-ready transition and table-harmonization postimage; accepted reader HTML remains pinned","Owner-verified H09 source-ready transition",TRUE
"direct_main_section_order","author-decisions-and-display-order;main-displays;supplementary-information-display-sequence;items-deliberately-excluded-from-supplementary-information;cross-display-language-and-construction-contract;coordination-status;provenance-and-reproducibility","author-decisions-and-display-order;main-displays;supplementary-information-display-sequence;items-deliberately-excluded-from-supplementary-information;cross-display-language-and-construction-contract;coordination-status;provenance-and-reproducibility",TRUE
"all_table_count","23","23",TRUE
"accepted_gt_table_count","20","20",TRUE
"manual_planning_table_count","0","0",TRUE
"selected_display_image_count","19","19",TRUE
"table_disclosure_count","12","12",TRUE
"wide_tables_use_accessible_scrollers","5;1;3;1","5;1;3;1",TRUE
"descriptive_sample_flow_complete_counts","191;818;2;141;816;1,175,160;905;3;154;902;1,298,880;112;643","191;818;2;141;816;1,175,160;905;3;154;902;1,298,880;112;643",TRUE
"descriptive_sample_flow_has_no_not_applicable_cells","FALSE","FALSE",TRUE
"image_alt_text_nonempty","53","53",TRUE
"embedded_image_sources","53","53",TRUE
"document_id_uniqueness","0","0",TRUE
"headers_resolve_within_table","1191","1191",TRUE
"resolved_header_token_count","2882",">0",TRUE
"document_anchor_links_resolve","20","20",TRUE
"relative_file_links_resolve","6","6",TRUE
"embedded_problem_nodes","0","0",TRUE
"required_author_decisions_exact","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",TRUE
"supplementary_single_composite_contract","1;1;0;0;0;0","1;1;0;0;0;0",TRUE
"supplementary_figure_s3_display_contract","1;1;1","1;1;1",TRUE
"uppercase_panel_reference_contract","0;0","0;0",TRUE
"h01_synthesis_units_labels_and_density","1;1;17;0","1;1;17;0",TRUE
"h01_synthesis_matches_descriptive_metric_order","Duration;Dynamics;Exposure history;Level;Spectrum;Timing;Time above 1,000 lx melEDI;Time above 250 lx melEDI during wake;Time below 10 lx melEDI before sleep;Time below 1 lx melEDI during sleep;Longest period above 250 lx melEDI;Interdaily stability;Intradaily variability;melEDI dose;Mean melEDI;Brightest 10 h geometric mean;Darkest 10 h geometric mean;Melanopic daylight efficacy ratio;Midpoint of the brightest 10 hours;Midpoint of the darkest 10 hours;First light timing above 250 lx melEDI;Last light timing above 250 lx melEDI;Mean timing of exposure above 250 lx melEDI","Duration;Dynamics;Exposure history;Level;Spectrum;Timing;Time above 1,000 lx melEDI;Time above 250 lx melEDI during wake;Time below 10 lx melEDI before sleep;Time below 1 lx melEDI during sleep;Longest period above 250 lx melEDI;Interdaily stability;Intradaily variability;melEDI dose;Mean melEDI;Brightest 10 h geometric mean;Darkest 10 h geometric mean;Melanopic daylight efficacy ratio;Midpoint of the brightest 10 hours;Midpoint of the darkest 10 hours;First light timing above 250 lx melEDI;Last light timing above 250 lx melEDI;Mean timing of exposure above 250 lx melEDI",TRUE
"brown_cross_window_interpretation_column","TRUE;FALSE","TRUE;FALSE",TRUE
"brown_window_language","1;1;1;1","1;1;1;1",TRUE
"selected_person_tables_omit_raw_p","5","5",TRUE
"h06_daily_preview_layout_repaired","1;0","1;0",TRUE
"no_em_dash_in_qmd","FALSE","FALSE",TRUE
