run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,converged,positive_definite_hessian,singular,max_gradient,diagnostic_status,fit_error,timing_min_hour,timing_max_hour,timing_span_hours,early_cluster_fraction,late_cluster_fraction,timing_cutpoint_hour,observations_within_one_hour_of_cut,fraction_within_one_hour_of_cut,timing_status,shapiro_p,residual_variance_ratio,standardized_residual_over_3_fraction,standardized_residual_over_4_fraction,dharma_uniformity_p,dharma_dispersion_p,dharma_zero_inflation_p,dharma_outlier_p,observed_zero_fraction,simulated_zero_fraction,zero_fraction_ratio,residual_status,observed_below_bound_n,observed_above_bound_n,predicted_below_bound_n,predicted_above_bound_n,prediction_bound_status,audit_upper_threshold,observed_above_audit_threshold_n,predicted_above_audit_threshold_n,audit_threshold_status,fit_warnings
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,1,interdaily_stability,participant,gaussian,logit,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,2,intradaily_variability,participant,gaussian,identity,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,1,interdaily_stability,participant,gaussian,logit,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,2,intradaily_variability,participant,gaussian,identity,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,1,interdaily_stability,participant,gaussian,logit,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,2,intradaily_variability,participant,gaussian,identity,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,1,interdaily_stability,participant,gaussian,logit,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,2,intradaily_variability,participant,gaussian,identity,FALSE,FALSE,,,NON_ESTIMABLE,Prepared scenario is unavailable for this metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,TRUE,TRUE,FALSE,,PASS,,,,,,,,,,NOT_APPLICABLE,0.12462194468595504,1.112581103592581,0,0,,,,,,,,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,TRUE,TRUE,FALSE,,PASS,,,,,,,,,,NOT_APPLICABLE,0.03756168044226962,1.733707055940121,0,0,,,,,,,,PASS,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.8178525351686403e-6,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,1.9617526988640893e-17,2.597727979158623,0.01560758082497213,0.006688963210702341,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.6741523722885177e-5,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,1.1797143003266389e-21,3.033185249385254,0.016722408026755852,0.010033444816053512,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,6.80842049405328e-6,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,1.6207813225615976e-20,15.783034600622361,0.008918617614269788,0.004459308807134894,,,,,,,,WARN_STRONG_GAUSSIAN_MISFIT,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,PASS,,,,,,,,,,NOT_APPLICABLE,,,,,0.24094128968714817,0.392,0.832,0.8506431298968291,0.09810479375696766,0.0956298773690078,1.0258801585451154,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,,,,,0.009894699464663969,0.408,0.96,0.8446033948832192,0.025029797377830752,0.024200238379022646,1.0342789598108748,WARN_TWEEDIE_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,TRUE,TRUE,FALSE,5.3296389523893595e-6,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,3.2021723074312677e-6,1.3557965145328392,0.008073817762399077,0.002306805074971165,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,6,0,0,PASS,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,,,,,6.169118947017839e-14,0.152,0,4.0139125060737885e-5,0.0056947608200455585,0,Inf,WARN_STRONG_TWEEDIE_MISFIT,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,2.9416469260468148e-6,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,7.443130516558488e-5,1.0806260948850368,0.004459308807134894,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,3.206196197425015e-5,WARN_REVIEW,,4.983333333333334,18.983333333333334,14,0,0,,,,PASS,1.9909651363644865e-18,1.1243550459392202,0.011148272017837236,0.004459308807134894,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,TRUE,TRUE,FALSE,1.8621904018800706e-6,WARN_REVIEW,,-6.933333333333337,14.466666666666669,21.400000000000006,0.5629877369007804,0.024526198439241916,16,0,0,PASS,1.7134782682485664e-23,1.5604879896878336,0.014492753623188406,0.011148272017837236,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,6.269146979320794e-5,WARN_REVIEW,,2.645,20.672222222222217,18.027222222222218,0.0011534025374855825,0,,,,PASS,1.1968632606430173e-8,1.6962979623540573,0.0057670126874279125,0.002306805074971165,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,14,first_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,1.6439116734545678e-5,WARN_REVIEW,,0,20.65,20.65,0.008073817762399077,0,,,,PASS,7.512354509851617e-20,2.2193532142912873,0.016147635524798153,0.0057670126874279125,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,15,last_timing_above_250,participant_day,gaussian,clock_hours,TRUE,TRUE,FALSE,1.3665157894138247e-6,WARN_REVIEW,,7.75,23.91666666666667,16.16666666666667,0,0.08996539792387544,,,,PASS,2.736432345183141e-14,1.9136744886414752,0.011534025374855825,0.00461361014994233,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,6.202753866091371e-6,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,9.036390734977143e-26,3.629510332635462,0.010033444816053512,0.007803790412486065,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,TRUE,TRUE,FALSE,3.3594460546737537e-7,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,2.5420089630162765e-22,3.6316202475016777,0.012448132780082987,0.006915629322268326,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.030969087878475e-5,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,6.317110517037123e-14,2.291114307586578,0.015625,0.0078125,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,1.0516032489249483e-6,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,2.574630711456103e-18,2.9418556400939333,0.01875,0.009375,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,TRUE,TRUE,FALSE,3.695532768688281e-7,WARN_REVIEW,,,,,,,,,,NOT_APPLICABLE,2.951442607759418e-20,17.41158662722739,0.0109375,0.00625,,,,,,,,WARN_STRONG_GAUSSIAN_MISFIT,0,0,0,,UPPER_BOUND_UNAVAILABLE,,,,NOT_APPLICABLE,
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,6,duration_above_1000,participant_day,tweedie_log,identity,TRUE,TRUE,FALSE,,PASS,,,,,,,,,,NOT_APPLICABLE,,,,,0.3310675869534584,0.688,0.768,0.5021724659145841,0.11875,0.1134875,1.0463707456768365,PASS,0,0,0,0,PASS,,,,NOT_APPLICABLE,
