run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,attempt,error,warning_count,warnings
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,696,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00418992 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,197,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00500937 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
alternative_preprocessing__chest__paired_common_sample,alternative_preprocessing,chest,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,154,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00488303 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,all_available,alternative_preprocessing_sensitivity,15,last_timing_above_250,participant_day,gaussian,clock_hours,957,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.0051433 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
alternative_preprocessing__glasses__all_available,alternative_preprocessing,glasses,all_available,alternative_preprocessing_sensitivity,17,mder_mean_of_viable_ratios,participant_day,gaussian,identity,565,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",1,"Model failed to converge with max|grad| = 0.00580566 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,67,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,200,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,206,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,212,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
alternative_preprocessing__glasses__paired_common_sample,alternative_preprocessing,glasses,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,253,"A joint bootstrap refit failed convergence, Hessian, or singularity checks",0,
