run_id,placement,analytical_role,component,subset_size,conditional_dominance_R2,subsets
main__glasses__all_available,glasses,primary_near_eye,participant_day,0,0.07805464794658368,1
main__glasses__all_available,glasses,primary_near_eye,participant_day,1,0.04324702358898974,2
main__glasses__all_available,glasses,primary_near_eye,participant_day,2,0.023226379894814242,1
main__glasses__all_available,glasses,primary_near_eye,participant_pattern,0,0.14314547787606524,1
main__glasses__all_available,glasses,primary_near_eye,participant_pattern,1,0.09520709796591298,2
main__glasses__all_available,glasses,primary_near_eye,participant_pattern,2,0.06205569871917915,1
main__glasses__all_available,glasses,primary_near_eye,site_pattern,0,0.03871007784034952,1
main__glasses__all_available,glasses,primary_near_eye,site_pattern,1,0.01069189451278113,2
main__glasses__all_available,glasses,primary_near_eye,site_pattern,2,-0.0025393081513688243,1
main__chest__all_available,chest,complementary_chest,participant_day,0,0.07369155173816488,1
main__chest__all_available,chest,complementary_chest,participant_day,1,0.048491192026780316,2
main__chest__all_available,chest,complementary_chest,participant_day,2,0.03178397337359051,1
main__chest__all_available,chest,complementary_chest,participant_pattern,0,0.1277246104451375,1
main__chest__all_available,chest,complementary_chest,participant_pattern,1,0.0846415733325746,2
main__chest__all_available,chest,complementary_chest,participant_pattern,2,0.050051677278206474,1
main__chest__all_available,chest,complementary_chest,site_pattern,0,0.03865839535588944,1
main__chest__all_available,chest,complementary_chest,site_pattern,1,0.012551272655754953,2
main__chest__all_available,chest,complementary_chest,site_pattern,2,-0.005062708986184772,1
