run_id,start_local_clock,end_local_clock,interval_definition,site,window_id,direction,start_clock_bin,end_clock_bin_exclusive,bins_30_minute,minimum_point_ratio,maximum_point_ratio,minimum_simultaneous_lower,maximum_simultaneous_upper
main__glasses__all_available,17:30,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,1050,1200,5,2.705700414247791,3.3530988958225327,1.0307579450108413,8.107513566067471
main__glasses__all_available,06:00,09:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,360,570,7,0.14831657750075072,0.31154131172564303,0.05035240901247898,0.76987562080846506
main__glasses__all_available,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1110,1170,2,0.39544776617599536,0.4051181346794388,0.17576132588749444,0.9084687856177424
main__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,,no_simultaneous_difference,,,0,,,,
main__glasses__all_available,15:30,21:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,930,1290,12,0.10984516572580122,0.2277992160122587,0.03590850798811237,0.882722813275736
main__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,MPI,,no_simultaneous_difference,,,0,,,,
main__glasses__all_available,07:00,09:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,420,540,4,3.4491292344255804,4.643529078667099,1.04915065114989,19.570480775415014
main__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
main__glasses__all_available,18:00,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,2,higher,1080,1200,4,3.2717276140237903,3.7201362406608123,1.027160337566605,11.437689970093288
main__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__glasses__all_available,06:00,06:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,360,390,1,2.3315278947374307,2.3315278947374307,1.0077526644465293,5.394202879060895
alternative_preprocessing__glasses__all_available,17:30,20:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,4,higher,1050,1200,5,2.7042911344586704,3.3430812426621115,1.0041728915911492,8.56453643845457
alternative_preprocessing__glasses__all_available,05:30,09:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,330,570,8,0.1522647646666856,0.4755660346080256,0.05390450735879043,0.9764902736496699
alternative_preprocessing__glasses__all_available,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1110,1170,2,0.398908667363957,0.4129897013322527,0.16796656268565638,0.9689496773751108
alternative_preprocessing__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__glasses__all_available,15:00,21:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,900,1290,13,0.11357933611883624,0.2394485189049012,0.03629294483248857,0.9808069574146572
alternative_preprocessing__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,MPI,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__glasses__all_available,07:00,09:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,420,540,4,3.3662178578589192,4.4376150164556405,1.108369841970547,17.500237733025997
alternative_preprocessing__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__glasses__all_available,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,2,higher,1110,1170,2,3.4001775215525347,3.5267126838854246,1.0400466298199251,11.714192369010785
alternative_preprocessing__glasses__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,,no_simultaneous_difference,,,0,,,,
main__chest__all_available,17:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,1050,1170,4,2.1825710487117562,2.3677693429548636,1.0378179895516146,5.000189782736376
main__chest__all_available,05:30,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,330,600,9,0.14120361460130873,0.364783723668945,0.05854136340860449,0.8378724990560491
main__chest__all_available,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1110,1170,2,0.4425765350575167,0.44934904991231395,0.21513456199051087,0.9210356071412213
main__chest__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,,no_simultaneous_difference,,,0,,,,
main__chest__all_available,15:30,21:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,930,1290,12,0.14035345941475066,0.3040303601260627,0.0563906359894176,0.8987854570167287
main__chest__all_available,07:00,09:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,420,570,5,2.6867395018120264,3.6250325172354434,1.0630840483900348,10.617762819910611
main__chest__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
main__chest__all_available,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,2,higher,1110,1170,2,2.7852002796473996,2.8041096164350363,1.0475421782937127,7.4738536753659455
main__chest__all_available,05:00,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,2,higher,300,600,10,2.317906454368111,6.650858487958914,1.0171744321962577,12.947861016742776
main__chest__all_available,17:00,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,4,lower,1020,1170,5,0.43033383809822956,0.5390586270315835,0.23648911927019056,0.9564880406603181
alternative_preprocessing__chest__all_available,17:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,BAUA,2,higher,1050,1170,4,2.1932633284567107,2.387716117639521,1.053290918301874,5.022655058622303
alternative_preprocessing__chest__all_available,05:30,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,2,lower,330,600,9,0.14657594241474586,0.3719085906421213,0.06133291638930349,0.8525009825161188
alternative_preprocessing__chest__all_available,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,FUSPCEU,4,lower,1110,1170,2,0.44865518921473757,0.45841731632317345,0.2182984606549489,0.9378293130510515
alternative_preprocessing__chest__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,IZTECH,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__chest__all_available,15:00,21:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,KNUST,2,lower,900,1290,13,0.13934411871326877,0.31054480355411523,0.05581757208983359,0.9544583473099173
alternative_preprocessing__chest__all_available,07:00,09:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,RISE,2,higher,420,570,5,2.634075840088145,3.558216907817327,1.0514087894115551,10.26304301805024
alternative_preprocessing__chest__all_available,,,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,THUAS,,no_simultaneous_difference,,,0,,,,
alternative_preprocessing__chest__all_available,18:30,19:30,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,TUM,2,higher,1110,1170,2,2.731912539462919,2.7557182718960824,1.031552386252132,7.319881533466559
alternative_preprocessing__chest__all_available,05:00,10:00,contiguous 30-minute bins whose simultaneous 95% interval for the site-to-equal-site ratio excludes 1,UCR,2,higher,300,600,10,2.2523944252243617,6.653254295540345,1.0387907957483309,12.903145000780246
