run_id,placement,analytical_role,component,without_mask,with_mask,without_subset_id,with_subset_id,subset_size,shapley_weight,R2_without,R2_with,incremental_R2,weighted_increment
main__glasses__all_available,glasses,primary_near_eye,site_pattern,0,1,common_time_only,common_time+site_pattern,0,0.3333333333333333,0.6113266135999194,0.6500366914402689,0.03871007784034952,0.012903359280116506
main__glasses__all_available,glasses,primary_near_eye,site_pattern,2,3,common_time+participant_pattern,common_time+site_pattern+participant_pattern,1,0.16666666666666666,0.7544720914759846,0.7520332304362074,-0.002438861039777196,-4.06476839962866e-4
main__glasses__all_available,glasses,primary_near_eye,site_pattern,4,5,common_time+participant_day,common_time+site_pattern+participant_day,1,0.16666666666666666,0.689381261546503,0.7132039116118425,0.023822650065339457,0.003970441677556576
main__glasses__all_available,glasses,primary_near_eye,site_pattern,6,7,common_time+participant_pattern+participant_day,common_time+site_pattern+participant_pattern+participant_day,2,0.3333333333333333,0.7777989184823905,0.7752596103310216,-0.0025393081513688243,-8.464360504562747e-4
main__glasses__all_available,glasses,primary_near_eye,participant_pattern,0,2,common_time_only,common_time+participant_pattern,0,0.3333333333333333,0.6113266135999194,0.7544720914759846,0.14314547787606524,0.04771515929202175
main__glasses__all_available,glasses,primary_near_eye,participant_pattern,1,3,common_time+site_pattern,common_time+site_pattern+participant_pattern,1,0.16666666666666666,0.6500366914402689,0.7520332304362074,0.10199653899593852,0.016999423165989753
main__glasses__all_available,glasses,primary_near_eye,participant_pattern,4,6,common_time+participant_day,common_time+participant_pattern+participant_day,1,0.16666666666666666,0.689381261546503,0.7777989184823905,0.08841765693588743,0.014736276155981238
main__glasses__all_available,glasses,primary_near_eye,participant_pattern,5,7,common_time+site_pattern+participant_day,common_time+site_pattern+participant_pattern+participant_day,2,0.3333333333333333,0.7132039116118425,0.7752596103310216,0.06205569871917915,0.02068523290639305
main__glasses__all_available,glasses,primary_near_eye,participant_day,0,4,common_time_only,common_time+participant_day,0,0.3333333333333333,0.6113266135999194,0.689381261546503,0.07805464794658368,0.02601821598219456
main__glasses__all_available,glasses,primary_near_eye,participant_day,1,5,common_time+site_pattern,common_time+site_pattern+participant_day,1,0.16666666666666666,0.6500366914402689,0.7132039116118425,0.06316722017157361,0.010527870028595602
main__glasses__all_available,glasses,primary_near_eye,participant_day,2,6,common_time+participant_pattern,common_time+participant_pattern+participant_day,1,0.16666666666666666,0.7544720914759846,0.7777989184823905,0.02332682700640587,0.0038878045010676448
main__glasses__all_available,glasses,primary_near_eye,participant_day,3,7,common_time+site_pattern+participant_pattern,common_time+site_pattern+participant_pattern+participant_day,2,0.3333333333333333,0.7520332304362074,0.7752596103310216,0.023226379894814242,0.007742126631604747
main__chest__all_available,chest,complementary_chest,site_pattern,0,1,common_time_only,common_time+site_pattern,0,0.3333333333333333,0.5827104991727838,0.6213688945286733,0.03865839535588944,0.01288613178529648
main__chest__all_available,chest,complementary_chest,site_pattern,2,3,common_time+participant_pattern,common_time+site_pattern+participant_pattern,1,0.16666666666666666,0.7104351096179213,0.705103704872498,-0.005331404745423374,-8.885674575705622e-4
main__chest__all_available,chest,complementary_chest,site_pattern,4,5,common_time+participant_day,common_time+site_pattern+participant_day,1,0.16666666666666666,0.6564020509109487,0.686836000967882,0.03043395005693328,0.005072325009488879
main__chest__all_available,chest,complementary_chest,site_pattern,6,7,common_time+participant_pattern+participant_day,common_time+site_pattern+participant_pattern+participant_day,2,0.3333333333333333,0.7419503872322732,0.7368876782460885,-0.005062708986184772,-0.0016875696620615905
main__chest__all_available,chest,complementary_chest,participant_pattern,0,2,common_time_only,common_time+participant_pattern,0,0.3333333333333333,0.5827104991727838,0.7104351096179213,0.1277246104451375,0.042574870148379164
main__chest__all_available,chest,complementary_chest,participant_pattern,1,3,common_time+site_pattern,common_time+site_pattern+participant_pattern,1,0.16666666666666666,0.6213688945286733,0.705103704872498,0.08373481034382468,0.01395580172397078
main__chest__all_available,chest,complementary_chest,participant_pattern,4,6,common_time+participant_day,common_time+participant_pattern+participant_day,1,0.16666666666666666,0.6564020509109487,0.7419503872322732,0.08554833632132453,0.014258056053554086
main__chest__all_available,chest,complementary_chest,participant_pattern,5,7,common_time+site_pattern+participant_day,common_time+site_pattern+participant_pattern+participant_day,2,0.3333333333333333,0.686836000967882,0.7368876782460885,0.050051677278206474,0.016683892426068825
main__chest__all_available,chest,complementary_chest,participant_day,0,4,common_time_only,common_time+participant_day,0,0.3333333333333333,0.5827104991727838,0.6564020509109487,0.07369155173816488,0.024563850579388292
main__chest__all_available,chest,complementary_chest,participant_day,1,5,common_time+site_pattern,common_time+site_pattern+participant_day,1,0.16666666666666666,0.6213688945286733,0.686836000967882,0.06546710643920872,0.010911184406534786
main__chest__all_available,chest,complementary_chest,participant_day,2,6,common_time+participant_pattern,common_time+participant_pattern+participant_day,1,0.16666666666666666,0.7104351096179213,0.7419503872322732,0.03151527761435191,0.0052525462690586515
main__chest__all_available,chest,complementary_chest,participant_day,3,7,common_time+site_pattern+participant_pattern,common_time+site_pattern+participant_pattern+participant_day,2,0.3333333333333333,0.705103704872498,0.7368876782460885,0.03178397337359051,0.010594657791196838
