run_id,model_id,method,n,log_likelihood,likelihood_df,AIC,total_edf,rank,coefficients,scale,rho,convergence,warnings
main__glasses__all_available,no_site,fREML,37756,-31195.94572242584,1234.30951020006,64860.5104652518,1230.3623758758076,2237,2237,0.5069826650467092,0.6226945612442714,TRUE,model has repeated 1-d smooths of same variable.
main__glasses__all_available,site_pattern,fREML,37756,-31265.843608352745,1143.9775979902838,64819.64241268606,1135.400127167169,2333,2333,0.5075437564645858,0.6226945612442714,TRUE,
main__glasses__all_available,no_participant_pattern,fREML,37756,-32995.6321780632,659.0310404052709,67309.32643693694,652.9389180737267,923,923,0.5490141558181428,0.6226945612442714,TRUE,
main__glasses__all_available,no_participant_day,fREML,37756,-31781.239048350228,800.6780328374998,65163.83416237545,793.0286558418532,1517,1517,0.5167600120019364,0.6226945612442714,TRUE,
main__glasses__all_available,site_pattern_final_fREML,fREML,37756,-31265.843608352745,1143.9775979902838,64819.64241268606,1135.400127167169,2333,2333,0.5075437564645858,0.6226945612442714,TRUE,
alternative_preprocessing__glasses__all_available,site_pattern,fREML,37603,-31311.48498739045,1146.9472167609138,64916.864408302725,1138.5003114501162,2326,2326,0.5113267781008534,0.6205468281745262,TRUE,
main__chest__all_available,site_pattern,fREML,41842,-39436.12911838579,1160.8176491999752,81193.89353517153,1152.2910784217167,2537,2537,0.6170497417028269,0.6065245017165393,TRUE,
alternative_preprocessing__chest__all_available,site_pattern,fREML,41664,-39615.343264945994,1144.6564156838688,81519.99936125973,1135.901122537943,2529,2529,0.622188812102429,0.6008299165206022,TRUE,
main__chest__paired_common_sample,site_pattern,fREML,29786,-28354.54757252932,838.1409486684776,58385.3770423956,829.7412513899989,1858,1858,0.6254153587975751,0.6033964491498615,TRUE,
main__glasses__paired_common_sample,site_pattern,fREML,29786,-25465.9102806103,866.7256792211025,52665.2719196628,859.1135595148467,1858,1858,0.5398916617035707,0.627418508797108,TRUE,
alternative_preprocessing__chest__paired_common_sample,site_pattern,fREML,29634,-28441.030183926407,814.4839604714185,58511.02828879565,806.195986735225,1852,1852,0.6308765582216277,0.5988149516563709,TRUE,
alternative_preprocessing__glasses__paired_common_sample,site_pattern,fREML,29634,-25557.961964579015,835.3188448285124,52786.56161881505,827.6623312735172,1852,1852,0.5454994485508675,0.6243845159578101,TRUE,
