placement,analytical_role,mask,subset_size,subset_id,included_components,formula,reused_selected_full_model,hierarchy_rule,run_id,model_id,method,n,log_likelihood,likelihood_df,AIC,total_edf,rank,coefficients,scale,rho,convergence,warnings,squared_error,total_sum_squares,in_sample_R2
glasses,primary_near_eye,0,0,common_time_only,,"response ~ s(time_hour, bs = ""cc"", k = 12)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time_only,fREML,37756,-35170.970544251875,11.90754416525392,70365.75617683426,10.882211416646097,11,11,0.6055874409284497,0.6226945612442714,TRUE,,34668.62385693188,89197.31854561751,0.6113266135999194
glasses,primary_near_eye,1,1,common_time+site_pattern,site_pattern,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site,      bs = ""sz"", k = 12)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time+site_pattern,fREML,37756,-34227.93314347857,88.3212483687905,68632.50878369472,82.8558133473482,107,107,0.5771794996902944,0.6226945612442714,TRUE,,31215.788712880563,89197.31854561751,0.6500366914402689
glasses,primary_near_eye,2,1,common_time+participant_pattern,participant_pattern,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, participant,      bs = ""fs"", k = 10)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time+participant_pattern,fREML,37756,-31716.56924009578,890.0219377671589,65213.18235572588,887.0728626976326,1421,1421,0.51630642327221965,0.6226945612442714,TRUE,model has repeated 1-d smooths of same variable.,21900.431068455833,89197.31854561751,0.7544720914759846
glasses,primary_near_eye,3,2,common_time+site_pattern+participant_pattern,site_pattern;participant_pattern,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site,      bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"",      k = 10)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time+site_pattern+participant_pattern,fREML,37756,-31781.239048350228,800.6780328374998,65163.83416237545,793.0286558418532,1517,1517,0.5167600120019364,0.6226945612442714,TRUE,,22117.970933509336,89197.31854561751,0.7520332304362074
glasses,primary_near_eye,4,1,common_time+participant_day,participant_day,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(participant_day,      bs = ""re"")",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time+participant_day,fREML,37756,-33679.27084806556,623.5957877708695,68605.73327167286,622.0598472140001,827,827,0.5687868914403875,0.6226945612442714,TRUE,,27706.358560074423,89197.31854561751,0.689381261546503
glasses,primary_near_eye,5,2,common_time+site_pattern+participant_day,site_pattern;participant_day,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site,      bs = ""sz"", k = 12) + s(participant_day, bs = ""re"")",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time+site_pattern+participant_day,fREML,37756,-32995.6321780632,659.0310404052709,67309.32643693694,652.9389180737267,923,923,0.5490141558181428,0.6226945612442714,TRUE,,25581.44205359556,89197.31854561751,0.7132039116118425
glasses,primary_near_eye,6,2,common_time+participant_pattern+participant_day,participant_pattern;participant_day,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, participant,      bs = ""fs"", k = 10) + s(participant_day, bs = ""re"")",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time+participant_pattern+participant_day,fREML,37756,-31195.94572242584,1234.30951020006,64860.5104652518,1230.3623758758076,2237,2237,0.5069826650467092,0.6226945612442714,TRUE,model has repeated 1-d smooths of same variable.,19819.74064930694,89197.31854561751,0.7777989184823905
glasses,primary_near_eye,7,3,common_time+site_pattern+participant_pattern+participant_day,site_pattern;participant_pattern;participant_day,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site,      bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"",      k = 10) + s(participant_day, bs = ""re"")",TRUE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__glasses__all_available,dominance__common_time+site_pattern+participant_pattern+participant_day,fREML,37756,-31265.843608352745,1143.9775979902838,64819.64241268606,1135.400127167169,2333,2333,0.5075437564645858,0.6226945612442714,TRUE,,20046.240127370067,89197.31854561751,0.7752596103310216
chest,complementary_chest,0,0,common_time_only,,"response ~ s(time_hour, bs = ""cc"", k = 12)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__chest__all_available,dominance__common_time_only,fREML,41842,-43041.253449151154,11.881617579511744,86106.27013346134,10.85624033554762,11,11,0.7130878049093585,0.6065245017165393,TRUE,,43010.766065541495,103071.76667584221,0.5827104991727838
chest,complementary_chest,1,1,common_time+site_pattern,site_pattern,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site,      bs = ""sz"", k = 12)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__chest__all_available,dominance__common_time+site_pattern,fREML,41842,-42097.736547445544,85.46506800313621,84366.40323089735,80.07435025528285,95,95,0.6827724217335268,0.6065245017165393,TRUE,,39026.176959356795,103071.76667584221,0.6213688945286733
chest,complementary_chest,2,1,common_time+participant_pattern,participant_pattern,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, participant,      bs = ""fs"", k = 10)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__chest__all_available,dominance__common_time+participant_pattern,fREML,41842,-40005.289757455634,887.1215553857973,81784.82262568286,883.9907388773117,1551,1551,0.6299136215040889,0.6065245017165393,TRUE,model has repeated 1-d smooths of same variable.,29845.96481897744,103071.76667584221,0.7104351096179213
chest,complementary_chest,3,2,common_time+site_pattern+participant_pattern,site_pattern;participant_pattern,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site,      bs = ""sz"", k = 12) + s(time_hour, participant, bs = ""fs"",      k = 10)",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__chest__all_available,dominance__common_time+site_pattern+participant_pattern,fREML,41842,-40141.006538309506,729.284018698833,81740.58111401668,721.5886023497538,1635,1635,0.6315092318561343,0.6065245017165393,TRUE,,30395.48212495219,103071.76667584221,0.705103704872498
chest,complementary_chest,4,1,common_time+participant_day,participant_day,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(participant_day,      bs = ""re"")",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__chest__all_available,dominance__common_time+participant_day,fREML,41842,-41592.8104921382,660.3228816092253,84506.26674749484,658.7236030613988,913,913,0.6758556398143052,0.6065245017165393,TRUE,,35415.247638804605,103071.76667584221,0.6564020509109487
chest,complementary_chest,5,2,common_time+site_pattern+participant_day,site_pattern;participant_day,"response ~ s(time_hour, bs = ""cc"", k = 12) + s(time_hour, site,      bs = ""sz"", k = 12) + s(participant_day, bs = ""re"")",FALSE,"The common cyclic time curve is present in every subset; Shapley permutations apply only to site, participant, and participant-day heterogeneity blocks.",main__chest__all_available,dominance__common_time+site_pattern+participant_day,fREML,41842,-40768.68385557254,711.2157266435385,82959.79916443216,705.3682850591754,997,997,0.6504864327483515,0.6065245017165393,TRUE,,32278.366639512136,103071.76667584221,0.686836000967882
