path,type,sealed_sha256,live_sha256,sealed_bytes,live_bytes,exact
audit/hypotheses/H11/05_stage3_gate_and_stage4_transition.md,file,5f24e055b39a2a5f4f2667f963dcd86397fced44f0a07789b8c0fd0c97bdd261,5f24e055b39a2a5f4f2667f963dcd86397fced44f0a07789b8c0fd0c97bdd261,1792,1792,TRUE
audit/hypotheses/H11/H11_preparation_figure_readability_qa.md,file,71143d5162663cb3e694861ce57333177be704f57b6ca12f0a50144f2f2aef28,71143d5162663cb3e694861ce57333177be704f57b6ca12f0a50144f2f2aef28,2298,2298,TRUE
scripts/hypotheses/H11/audit_h11_robust_inference_alternative.R,file,04b0ff302a6261dddcc736248846e9ecefb1a7a3bc6b9b0020422badac5141ae,04b0ff302a6261dddcc736248846e9ecefb1a7a3bc6b9b0020422badac5141ae,14971,14971,TRUE
scripts/hypotheses/H11/build_h11_preparation_artifacts.R,file,20d90309d97e6656e7d5b7996a7b651b4afcec752fb7234d7c7bc9afe31e37f5,20d90309d97e6656e7d5b7996a7b651b4afcec752fb7234d7c7bc9afe31e37f5,38715,38715,TRUE
scripts/hypotheses/H11/build_h11_preparation_report_manifest.R,file,317f31069e6019475023b3097b1d7f1b00435755e0a109e40535fab89b570bf8,317f31069e6019475023b3097b1d7f1b00435755e0a109e40535fab89b570bf8,10130,10130,TRUE
scripts/hypotheses/H11/build_h11_stage1_audit.R,file,3b126fdf069e078ce3aa26c7168ff19afee6ae8469c6c3e70c79a406095869cd,3b126fdf069e078ce3aa26c7168ff19afee6ae8469c6c3e70c79a406095869cd,939,939,TRUE
scripts/hypotheses/H11/build_h11_stage1_output_manifest.R,file,787cc5253a39c80c8da8d2ed687562bfdc5f76ae9d99e95de342c8e1987fe1f8,787cc5253a39c80c8da8d2ed687562bfdc5f76ae9d99e95de342c8e1987fe1f8,2299,2299,TRUE
scripts/hypotheses/H11/build_h11_stage2_displays.R,file,1c658ac954d7716d89f2e34924e06529dbd66c1e7f9c45d203235f8da4ffa436,1c658ac954d7716d89f2e34924e06529dbd66c1e7f9c45d203235f8da4ffa436,15036,15036,TRUE
scripts/hypotheses/H11/build_h11_stage2_manifest.R,file,8bc8526d040ea36841481e473747a1cd598b116beff2af755218caf761e88caf,8bc8526d040ea36841481e473747a1cd598b116beff2af755218caf761e88caf,7087,7087,TRUE
scripts/hypotheses/H11/build_h11_stage3_figures.R,file,405b357920ce9ba15d4fadd3f34d4ebd33f19ab463b89d856d46ab125318fde2,405b357920ce9ba15d4fadd3f34d4ebd33f19ab463b89d856d46ab125318fde2,27841,27841,TRUE
scripts/hypotheses/H11/build_h11_stage3_manifest.R,file,1febbbf4f5acb7c422160c90d6ef92e6cc3c9b95bd2a270a0ab4d5174985e734,1febbbf4f5acb7c422160c90d6ef92e6cc3c9b95bd2a270a0ab4d5174985e734,5506,5506,TRUE
scripts/hypotheses/H11/build_h11_stage3_reader_artifacts.R,file,9f745069611a1fc0a42c6c8addbed75892d2c076be50b88651b57ece07fed9a8,9f745069611a1fc0a42c6c8addbed75892d2c076be50b88651b57ece07fed9a8,27601,27601,TRUE
scripts/hypotheses/H11/finalize_h11_preparation_figure_qa.R,file,ee3f8d70238dcf78c497fc83ec21c6775e522a2c7373537c2c6191ac1095c4a5,ee3f8d70238dcf78c497fc83ec21c6775e522a2c7373537c2c6191ac1095c4a5,3117,3117,TRUE
scripts/hypotheses/H11/finalize_h11_stage3_figure_qa.R,file,af14e4acf03c854b6457c56e64ec4087fe74a3f7fa9c630d36c4a56ae6147add,af14e4acf03c854b6457c56e64ec4087fe74a3f7fa9c630d36c4a56ae6147add,2889,2889,TRUE
scripts/hypotheses/H11/h11_activity_context.R,file,a5cab5cb1c67f30b80392d25b94917e7093cc7f0db85c9162c9d067bac680c3f,a5cab5cb1c67f30b80392d25b94917e7093cc7f0db85c9162c9d067bac680c3f,35925,35925,TRUE
scripts/hypotheses/H11/h11_stage1.R,file,e8a641126a24a4bacf08b576136f93947e19afd2559b54e5f0e061b5f1994573,e8a641126a24a4bacf08b576136f93947e19afd2559b54e5f0e061b5f1994573,41982,41982,TRUE
scripts/hypotheses/H11/h11_stage2.R,file,d8860c59fe055056f831f5cff4066191f1ec73bba73f717c6b5d614475e0ef81,d8860c59fe055056f831f5cff4066191f1ec73bba73f717c6b5d614475e0ef81,57812,57812,TRUE
scripts/hypotheses/H11/run_h11_activity_context.R,file,f02b5faf82ba0abdcf58469fb3797e49b9de86fb7eb060ef98f45eaf09f5dee7,f02b5faf82ba0abdcf58469fb3797e49b9de86fb7eb060ef98f45eaf09f5dee7,26078,26078,TRUE
scripts/hypotheses/H11/run_h11_stage2_analysis.R,file,bce5ac6c505f8272eda2a1d7690f84bd67d91689e0ca1365a794d6f33b65bab7,bce5ac6c505f8272eda2a1d7690f84bd67d91689e0ca1365a794d6f33b65bab7,32267,32267,TRUE
scripts/hypotheses/H11/run_h11_stage2_checkpoint.R,file,7249b8a70fc9f94df7203c67871dfbb749bb09004f53e149c1a8341f69d7cc08,7249b8a70fc9f94df7203c67871dfbb749bb09004f53e149c1a8341f69d7cc08,3086,3086,TRUE
tests/hypotheses/H11/test_h11_preparation_report.R,file,64b427b4bc11f79a1ea2cd539eee7e30184271ef05cbba7b3f511a2f105a15a3,64b427b4bc11f79a1ea2cd539eee7e30184271ef05cbba7b3f511a2f105a15a3,11831,11831,TRUE
tests/hypotheses/H11/test_h11_report016_hourly_disposition.R,file,3d945c2b813ffaa2291ddebbe01f1f45c5c4ae7fe10256c9a1c8b15c3b531e7b,3d945c2b813ffaa2291ddebbe01f1f45c5c4ae7fe10256c9a1c8b15c3b531e7b,8062,8062,TRUE
tests/hypotheses/H11/test_h11_robust_inference_alternative.R,file,73795161b3255570257c91fff36453bc3af51251f6cd5c958cccf2f0e8342553,73795161b3255570257c91fff36453bc3af51251f6cd5c958cccf2f0e8342553,5459,5459,TRUE
tests/hypotheses/H11/test_h11_stage1_audit.R,file,7df02b6f4c030037d7f835264b3c754f4902ad51207fd1dce236279fd42823e4,7df02b6f4c030037d7f835264b3c754f4902ad51207fd1dce236279fd42823e4,5821,5821,TRUE
tests/hypotheses/H11/test_h11_stage2_contract.R,file,3ecb988595e17c913d13ffadb4b18b4deac29240fb51e39a079bd07519403163,3ecb988595e17c913d13ffadb4b18b4deac29240fb51e39a079bd07519403163,10772,10772,TRUE
tests/hypotheses/H11/test_h11_stage2_outputs.R,file,892a21723151e24eb7c412266f608da16a2e4e9ab8fcad2d554642ef12322813,892a21723151e24eb7c412266f608da16a2e4e9ab8fcad2d554642ef12322813,12126,12126,TRUE
tests/hypotheses/H11/test_h11_stage3_reader_report.R,file,b0af27946d6c4001e659e9edb27bfab0fdfd3a36aa8be536d51ed50ae234a3c0,b0af27946d6c4001e659e9edb27bfab0fdfd3a36aa8be536d51ed50ae234a3c0,16783,16783,TRUE
audit/decisions/answer_in_brief_callout.md,file,4d8969914e3216ca4d61ad7b5da1b125efa27b4fbb2c307aaae517d17d584548,4d8969914e3216ca4d61ad7b5da1b125efa27b4fbb2c307aaae517d17d584548,2139,2139,TRUE
audit/decisions/figure_readability_and_layout.md,file,33bac9392c35ed2fb6fd8bef0cf80ba867229e97d31cd1ea28ce625a51c1565b,33bac9392c35ed2fb6fd8bef0cf80ba867229e97d31cd1ea28ce625a51c1565b,10910,10910,TRUE
audit/decisions/gap_timing_unaware_dataset_terminology.md,file,c68ecb5b81639fddaa035ca2787ad43d1dd5106b7238f2f6d20db4d5df36a306,c68ecb5b81639fddaa035ca2787ad43d1dd5106b7238f2f6d20db4d5df36a306,2153,2153,TRUE
audit/decisions/hypothesis_preparation_provenance_companions.md,file,f8c7dd0877ab1aaa2ee4d7cee7aa38683ab261630ce55271318ed99ebb3151db,f8c7dd0877ab1aaa2ee4d7cee7aa38683ab261630ce55271318ed99ebb3151db,8881,8881,TRUE
audit/decisions/p_value_display_conventions.md,file,ced1651242141d933bf7b3c7b67778bc89fe6d0e901fd5de8aca6fc64eaac772,ced1651242141d933bf7b3c7b67778bc89fe6d0e901fd5de8aca6fc64eaac772,2686,2686,TRUE
audit/decisions/paired_placement_comparison_display.md,file,0b88908040aa4c649cb0c98d71f075e36dee266fd90a58180cfacbf7002001b4,0b88908040aa4c649cb0c98d71f075e36dee266fd90a58180cfacbf7002001b4,3561,3561,TRUE
audit/decisions/reader_facing_symlog_scale.md,file,8ddfd61216c57ed9f5a0ec59420df3da71edd95c5c77eb1ebe62f3d986a06d58,8ddfd61216c57ed9f5a0ec59420df3da71edd95c5c77eb1ebe62f3d986a06d58,4507,4507,TRUE
audit/decisions/report011_physical_size_revalidation.md,file,3b6e8c7b24f0741e2a3de90048eee9338277f104dcd81f7ce9e3cc5680100c94,3b6e8c7b24f0741e2a3de90048eee9338277f104dcd81f7ce9e3cc5680100c94,4206,4206,TRUE
renv.lock,file,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,603493,TRUE
_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation_files/libs/bootstrap/bootstrap-138a6193a3bd40baf1e627da441a4734.min.css,file,a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec,a20d3d44875fd0fbe2eadf1dc56573a7a052bd9bd9eddb1d4965d913189ad5ec,430952,430952,TRUE
_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation_files/libs/bootstrap/bootstrap-icons.css,file,01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a,01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a,99464,99464,TRUE
