domain,check_id,pass,detail
owner seal,owner_manifest_exact_and_non_circular,TRUE,exact=47/47
identity,accepted_and_held_endpoints_exact,TRUE,exact=19/19
manifest,current_preparation_manifest_live_exact,TRUE,exact=283/283
test,single_preparation_test_pass,TRUE,run=1 exit=0 disposition=PASS
semantic,exact_reverse_and_reapplication,TRUE,tables=26 ids=179 headers=801 substitutions=980
DOM,complete_reader_structure,TRUE,main=1 tables=26 figures=3 captions=29 mermaid=1 headers=1193
links,source_and_served_link_contract,TRUE,source=20/17 fragments=14 served_HEAD=9/9
static,owner_static_acceptance,TRUE,pass=9/9
visual,bounded_visual_QA_and_evidence_payloads,TRUE,screenshots=13/13 JPEG-JFIF; figures=3/3 >=7pt; tables=78/78 contained
evidence,screenshot_suffix_mismatch_nonblocking,TRUE,valid JPEG/JFIF bytes retained unchanged under .png evidence suffixes
preservation,pre_post_and_live_inventories,TRUE,build=1180 protected=336 scientific=193 critical=25
teardown,loopback_listener_absent,TRUE,127.0.0.1:53671 has no listening process
