table_index,token,resolves
1,tbl-h11-prep-frame-integrity--gt-0001,1
1,tbl-h11-prep-frame-integrity--gt-0002,1
1,tbl-h11-prep-frame-integrity--gt-0003,1
1,tbl-h11-prep-frame-integrity--gt-0004,1
1,tbl-h11-prep-frame-integrity--gt-0005,1
1,tbl-h11-prep-frame-integrity--gt-0006,1
1,tbl-h11-prep-frame-integrity--gt-0007,1
1,tbl-h11-prep-frame-integrity--gt-0008,1
1,tbl-h11-prep-frame-integrity--gt-0001,1
1,tbl-h11-prep-frame-integrity--gt-0002,1
1,tbl-h11-prep-frame-integrity--gt-0003,1
1,tbl-h11-prep-frame-integrity--gt-0004,1
1,tbl-h11-prep-frame-integrity--gt-0005,1
1,tbl-h11-prep-frame-integrity--gt-0006,1
1,tbl-h11-prep-frame-integrity--gt-0007,1
1,tbl-h11-prep-frame-integrity--gt-0008,1
1,tbl-h11-prep-frame-integrity--gt-0001,1
1,tbl-h11-prep-frame-integrity--gt-0002,1
1,tbl-h11-prep-frame-integrity--gt-0003,1
1,tbl-h11-prep-frame-integrity--gt-0004,1
1,tbl-h11-prep-frame-integrity--gt-0005,1
1,tbl-h11-prep-frame-integrity--gt-0006,1
1,tbl-h11-prep-frame-integrity--gt-0007,1
1,tbl-h11-prep-frame-integrity--gt-0008,1
1,tbl-h11-prep-frame-integrity--gt-0001,1
1,tbl-h11-prep-frame-integrity--gt-0002,1
1,tbl-h11-prep-frame-integrity--gt-0003,1
1,tbl-h11-prep-frame-integrity--gt-0004,1
1,tbl-h11-prep-frame-integrity--gt-0005,1
1,tbl-h11-prep-frame-integrity--gt-0006,1
1,tbl-h11-prep-frame-integrity--gt-0007,1
1,tbl-h11-prep-frame-integrity--gt-0008,1
1,tbl-h11-prep-frame-integrity--gt-0001,1
1,tbl-h11-prep-frame-integrity--gt-0002,1
1,tbl-h11-prep-frame-integrity--gt-0003,1
1,tbl-h11-prep-frame-integrity--gt-0004,1
1,tbl-h11-prep-frame-integrity--gt-0005,1
1,tbl-h11-prep-frame-integrity--gt-0006,1
1,tbl-h11-prep-frame-integrity--gt-0007,1
1,tbl-h11-prep-frame-integrity--gt-0008,1
1,tbl-h11-prep-frame-integrity--gt-0001,1
1,tbl-h11-prep-frame-integrity--gt-0002,1
1,tbl-h11-prep-frame-integrity--gt-0003,1
1,tbl-h11-prep-frame-integrity--gt-0004,1
1,tbl-h11-prep-frame-integrity--gt-0005,1
1,tbl-h11-prep-frame-integrity--gt-0006,1
1,tbl-h11-prep-frame-integrity--gt-0007,1
1,tbl-h11-prep-frame-integrity--gt-0008,1
2,tbl-h11-prep-frame-content--gt-0001,1
2,tbl-h11-prep-frame-content--gt-0002,1
2,tbl-h11-prep-frame-content--gt-0003,1
2,tbl-h11-prep-frame-content--gt-0004,1
2,tbl-h11-prep-frame-content--gt-0005,1
2,tbl-h11-prep-frame-content--gt-0006,1
2,tbl-h11-prep-frame-content--gt-0007,1
2,tbl-h11-prep-frame-content--gt-0001,1
2,tbl-h11-prep-frame-content--gt-0002,1
2,tbl-h11-prep-frame-content--gt-0003,1
2,tbl-h11-prep-frame-content--gt-0004,1
2,tbl-h11-prep-frame-content--gt-0005,1
2,tbl-h11-prep-frame-content--gt-0006,1
2,tbl-h11-prep-frame-content--gt-0007,1
2,tbl-h11-prep-frame-content--gt-0001,1
2,tbl-h11-prep-frame-content--gt-0002,1
2,tbl-h11-prep-frame-content--gt-0003,1
2,tbl-h11-prep-frame-content--gt-0004,1
2,tbl-h11-prep-frame-content--gt-0005,1
2,tbl-h11-prep-frame-content--gt-0006,1
2,tbl-h11-prep-frame-content--gt-0007,1
2,tbl-h11-prep-frame-content--gt-0001,1
2,tbl-h11-prep-frame-content--gt-0002,1
2,tbl-h11-prep-frame-content--gt-0003,1
2,tbl-h11-prep-frame-content--gt-0004,1
2,tbl-h11-prep-frame-content--gt-0005,1
2,tbl-h11-prep-frame-content--gt-0006,1
2,tbl-h11-prep-frame-content--gt-0007,1
2,tbl-h11-prep-frame-content--gt-0001,1
2,tbl-h11-prep-frame-content--gt-0002,1
2,tbl-h11-prep-frame-content--gt-0003,1
2,tbl-h11-prep-frame-content--gt-0004,1
2,tbl-h11-prep-frame-content--gt-0005,1
2,tbl-h11-prep-frame-content--gt-0006,1
2,tbl-h11-prep-frame-content--gt-0007,1
2,tbl-h11-prep-frame-content--gt-0001,1
2,tbl-h11-prep-frame-content--gt-0002,1
2,tbl-h11-prep-frame-content--gt-0003,1
2,tbl-h11-prep-frame-content--gt-0004,1
2,tbl-h11-prep-frame-content--gt-0005,1
2,tbl-h11-prep-frame-content--gt-0006,1
2,tbl-h11-prep-frame-content--gt-0007,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0001,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0002,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0003,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0001,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0002,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0003,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0001,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0002,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0003,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0001,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0002,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0003,1
3,tbl-h11-prep-ar-boundaries-primary--gt-0004,1
