path,suffix,payload,signature,width,height,decodes
audit/hypotheses/H11/report018_order61a_no_rerender_completion/figure_1_170mm_642px.png,png,JPEG JFIF,ffd8ffe000104a464946,642,600,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/figure_2_170mm_642px.png,png,JPEG JFIF,ffd8ffe000104a464946,642,600,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/figure_3_170mm_642px.png,png,JPEG JFIF,ffd8ffe000104a464946,642,600,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_1440_figure1_section.png,png,JPEG JFIF,ffd8ffe000104a464946,1200,1050,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_1440x1000_full.png,png,JPEG JFIF,ffd8ffe000104a464946,1440,18485,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_708_activity_section.png,png,JPEG JFIF,ffd8ffe000104a464946,708,1000,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_708_bottom_tables.png,png,JPEG JFIF,ffd8ffe000104a464946,708,1000,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_708_main_tables.png,png,JPEG JFIF,ffd8ffe000104a464946,708,1000,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_708x1000_full.png,png,JPEG JFIF,ffd8ffe000104a464946,708,20160,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_708x1000_viewport.png,png,JPEG JFIF,ffd8ffe000104a464946,708,1000,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_720_navigation_open.png,png,JPEG JFIF,ffd8ffe000104a464946,720,500,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_720x500_full.png,png,JPEG JFIF,ffd8ffe000104a464946,720,20009,TRUE
audit/hypotheses/H11/report018_order61a_no_rerender_completion/loopback_720x500_viewport.png,png,JPEG JFIF,ffd8ffe000104a464946,720,500,TRUE
