target,resolved_path,exists,fragment,fragment_resolves,live_exists,live_fragment_resolves
../../../notebooks/hypotheses/H11.qmd,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/hypotheses/H11.qmd,TRUE,NA,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-001,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-001,TRUE,TRUE,TRUE
../../../notebooks/hypotheses/H11.qmd#h11-preregistration-deviations,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/hypotheses/H11.qmd,TRUE,h11-preregistration-deviations,TRUE,TRUE,TRUE
../H02/H02_analysis_preparation.qmd,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H02/H02_analysis_preparation.qmd,TRUE,NA,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-044,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-044,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-045,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-045,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-019,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-019,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-057,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-057,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-042,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-042,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-003,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-003,TRUE,TRUE,TRUE
../../../artifacts/11_source_data/H11/preparation/H11_preparation_site_sex_support.csv,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/11_source_data/H11/preparation/H11_preparation_site_sex_support.csv,TRUE,NA,TRUE,TRUE,TRUE
../../../artifacts/11_source_data/H11/preparation/H11_preparation_melEDI_distribution.csv,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/11_source_data/H11/preparation/H11_preparation_melEDI_distribution.csv,TRUE,NA,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-043,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-043,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-044,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-044,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-045,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-045,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-048,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-048,TRUE,TRUE,TRUE
../../../artifacts/11_source_data/H11/preparation/H11_preparation_activity_attrition.csv,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/11_source_data/H11/preparation/H11_preparation_activity_attrition.csv,TRUE,NA,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-047,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-047,TRUE,TRUE,TRUE
../../../notebooks/preregistration_deviations.qmd#dev-042,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/notebooks/preregistration_deviations.qmd,TRUE,dev-042,TRUE,TRUE,TRUE
../../../artifacts/11_source_data/H11/preparation/H11_preparation_input_identities.csv,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/artifacts/11_source_data/H11/preparation/H11_preparation_input_identities.csv,TRUE,NA,TRUE,TRUE,TRUE
