run_id,metric_order,metric_id,manuscript_name,factor_order,factor_id,factor_label,omitted_sites,successful_refits,sign_reversal_sites,maximum_relative_absolute_change,minimum_estimate,maximum_estimate,stability_class
main__glasses__all_available,1,interdaily_stability,Interdaily stability,1,leba_f2,Spending time outdoors,9,9,0,1.3760553248428604,0.0023718866412271193,0.016753439459030524,direction_stable_magnitude_sensitive
main__glasses__all_available,1,interdaily_stability,Interdaily stability,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.202788292639684,-0.02732845179013315,-0.01851104697132037,stable
main__glasses__all_available,1,interdaily_stability,Interdaily stability,3,leba_f4,Controlling and using ambient light before bedtime,9,9,1,1.6800539021589151,-0.011103854362545643,0.00401084793918562,direction_unstable
main__glasses__all_available,1,interdaily_stability,Interdaily stability,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.16807691575892594,0.0186409723555272,0.025405177429196235,stable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,1,leba_f2,Spending time outdoors,9,9,0,0.4172092837235635,-0.020961230047615385,-0.011156024688266649,stable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,4,29.02756770408652,-0.007566542508498171,0.010618915533252931,direction_unstable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,3,leba_f4,Controlling and using ambient light before bedtime,9,9,5,36.71656439576849,-0.004779110892206729,0.008063226423139624,direction_unstable
main__glasses__all_available,2,intradaily_variability,Intradaily variability,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.21658458437910513,0.011646112603256271,0.016870972622121828,stable
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,1,leba_f2,Spending time outdoors,9,9,0,1.045535084696253,0.002528970242312928,0.020039555799165703,direction_stable_magnitude_sensitive
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,9,9,0,0.372790198512764,-0.015509305110750568,-0.007548904387374923,stable
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,3,leba_f4,Controlling and using ambient light before bedtime,9,9,0,0.4021327172822656,-0.016500240194806913,-0.008243347782483585,stable
main__glasses__all_available,3,daily_geometric_mean_medi,Mean melEDI,4,leba_f5,Using light in the morning and during daytime,9,9,0,0.7965054813861127,-0.010627452962486666,-0.0014071912197319856,direction_stable_magnitude_sensitive
main__glasses__all_available,4,m10_mean_medi,Brightest 10 h mean,1,leba_f2,Spending time outdoors,9,9,0,0.8335231915845553,0.011893269182649985,0.03809975673076273,direction_stable_magnitude_sensitive
