"check","pass","detail"
"frozen_before",TRUE,""
"fourteen_exact_jobs",TRUE,""
"manifest.csv_columns",TRUE,""
"manifest.csv_shape",TRUE,""
"manifest.csv_members",TRUE,""
"BA-LB-LOSO-RISE_manifest.csv_columns",TRUE,""
"BA-LB-LOSO-RISE_manifest.csv_shape",TRUE,""
"BA-LB-LOSO-RISE_manifest.csv_members",TRUE,""
"LOSO-RISE_exact_input",TRUE,""
"LOSO-RISE_counts",TRUE,""
"LOSO-RISE_exported_gate",TRUE,""
"LOSO-RISE_purpose",TRUE,""
"LOSO-RISE_gate_consistency",TRUE,""
"LOSO-RISE_selected_optimizer",TRUE,""
"LOSO-RISE_execution",TRUE,""
"BA-LB-LOSO-THUAS_manifest.csv_columns",TRUE,""
"BA-LB-LOSO-THUAS_manifest.csv_shape",TRUE,""
"BA-LB-LOSO-THUAS_manifest.csv_members",TRUE,""
"LOSO-THUAS_exact_input",TRUE,""
"LOSO-THUAS_counts",TRUE,""
"LOSO-THUAS_exported_gate",TRUE,""
"LOSO-THUAS_purpose",TRUE,""
"LOSO-THUAS_gate_consistency",TRUE,""
"LOSO-THUAS_selected_optimizer",TRUE,""
"LOSO-THUAS_execution",TRUE,""
"BA-LB-LOSO-BAUA_manifest.csv_columns",TRUE,""
"BA-LB-LOSO-BAUA_manifest.csv_shape",TRUE,""
"BA-LB-LOSO-BAUA_manifest.csv_members",TRUE,""
"LOSO-BAUA_exact_input",TRUE,""
"LOSO-BAUA_counts",TRUE,""
"LOSO-BAUA_exported_gate",TRUE,""
"LOSO-BAUA_purpose",TRUE,""
"LOSO-BAUA_gate_consistency",TRUE,""
"LOSO-BAUA_selected_optimizer",TRUE,""
"LOSO-BAUA_execution",TRUE,""
"BA-LB-LOSO-MPI_manifest.csv_columns",TRUE,""
"BA-LB-LOSO-MPI_manifest.csv_shape",TRUE,""
"BA-LB-LOSO-MPI_manifest.csv_members",TRUE,""
"LOSO-MPI_exact_input",TRUE,""
"LOSO-MPI_counts",TRUE,""
"LOSO-MPI_exported_gate",TRUE,""
"LOSO-MPI_purpose",TRUE,""
"LOSO-MPI_gate_consistency",TRUE,""
"LOSO-MPI_selected_optimizer",TRUE,""
"LOSO-MPI_execution",TRUE,""
"BA-LB-LOSO-TUM_manifest.csv_columns",TRUE,""
"BA-LB-LOSO-TUM_manifest.csv_shape",TRUE,""
"BA-LB-LOSO-TUM_manifest.csv_members",TRUE,""
"LOSO-TUM_exact_input",TRUE,""
"LOSO-TUM_counts",TRUE,""
"LOSO-TUM_exported_gate",TRUE,""
"LOSO-TUM_purpose",TRUE,""
"LOSO-TUM_gate_consistency",TRUE,""
"LOSO-TUM_selected_optimizer",TRUE,""
"LOSO-TUM_execution",TRUE,""
"BA-LB-LOSO-FUSPCEU_manifest.csv_columns",TRUE,""
"BA-LB-LOSO-FUSPCEU_manifest.csv_shape",TRUE,""
"BA-LB-LOSO-FUSPCEU_manifest.csv_members",TRUE,""
"LOSO-FUSPCEU_exact_input",TRUE,""
"LOSO-FUSPCEU_counts",TRUE,""
"LOSO-FUSPCEU_exported_gate",TRUE,""
"LOSO-FUSPCEU_purpose",TRUE,""
"LOSO-FUSPCEU_gate_consistency",TRUE,""
"LOSO-FUSPCEU_selected_optimizer",TRUE,""
"LOSO-FUSPCEU_execution",TRUE,""
"BA-LB-LOSO-IZTECH_manifest.csv_columns",TRUE,""
"BA-LB-LOSO-IZTECH_manifest.csv_shape",TRUE,""
