"model_id","sample_id","rows","participants","behavioral_days","fit_status","structural_failure","failure_components","maximum_absolute_gradient","positive_definite_hessian","endpoint_probability_interior"
"BA-LB-LOSO-RISE","B_any_without_RISE",2073,127,719,"acceptable_with_cautions",FALSE,"",0.00349950700595936,TRUE,TRUE
"BA-LB-LOSO-THUAS","B_any_without_THUAS",2107,128,728,"acceptable_with_cautions",FALSE,"",0.00200441721921507,TRUE,TRUE
"BA-LB-LOSO-BAUA","B_any_without_BAUA",2027,122,701,"acceptable_with_cautions",FALSE,"",0.00386295427278338,TRUE,TRUE
"BA-LB-LOSO-MPI","B_any_without_MPI",1847,114,640,"acceptable_with_cautions",FALSE,"",0.00472255627935492,TRUE,TRUE
"BA-LB-LOSO-TUM","B_any_without_TUM",2120,130,734,"acceptable_with_cautions",FALSE,"",0.00136998215642342,TRUE,TRUE
"BA-LB-LOSO-FUSPCEU","B_any_without_FUSPCEU",1956,117,674,"acceptable_with_cautions",FALSE,"",0.00274255312968993,TRUE,TRUE
"BA-LB-LOSO-IZTECH","B_any_without_IZTECH",1990,123,682,"acceptable_with_cautions",FALSE,"",0.00275633616520699,TRUE,TRUE
"BA-LB-LOSO-UCR","B_any_without_UCR",2211,134,763,"acceptable_with_cautions",FALSE,"",0.00304920959753963,TRUE,TRUE
"BA-LB-LOSO-KNUST","B_any_without_KNUST",2053,125,711,"acceptable_with_cautions",FALSE,"",0.00136176670076321,TRUE,TRUE
"BA-LB-INFLUENCE-1","B_any_without_screen_position_1",2285,139,789,"acceptable_with_cautions",FALSE,"",0.00330404622301457,TRUE,TRUE
"BA-LB-INFLUENCE-2","B_any_without_screen_position_2",2275,139,786,"acceptable_with_cautions",FALSE,"",0.00488791315273507,TRUE,TRUE
"BA-LB-INFLUENCE-3","B_any_without_screen_position_3",2283,139,789,"acceptable_with_cautions",FALSE,"",0.00689814701311553,TRUE,TRUE
"BA-LB-INFLUENCE-4","B_any_without_screen_position_4",2280,139,788,"structural_failure",TRUE,"hard_fit_gate",0.0113978725414992,TRUE,TRUE
"BA-LB-INFLUENCE-5","B_any_without_screen_position_5",2280,139,788,"acceptable_with_cautions",FALSE,"",0.00608205814122709,TRUE,TRUE
