stage,attempt,command_or_action,status,detail
hard_preflight,1,R 4.6.1 dispatch and frozen-source verification,PASS,All 22 pins and the 90-cell contract reproduced before owner writes.
candidate_build,1,H06_DAILY_S12_OUTPUT_DIR=/private/tmp/H06_daily-order63-candidate.2HitiQ Rscript --vanilla scripts/hypotheses/H06_daily/build_h06_daily_manuscript_supplementary_figure_s12.R,PASS,One PNG/SVG candidate pair was built in the fresh temporary directory.
candidate_verification,1,H06_DAILY_S12_VERIFY_MODE=candidate H06_DAILY_S12_CANDIDATE_DIR=/private/tmp/H06_daily-order63-candidate.2HitiQ Rscript --vanilla tests/hypotheses/H06_daily/test_h06_daily_manuscript_supplementary_figure_s12.R,VERIFIER_ONLY_STOP,Two-decimal SVG coordinate grouping split half-pixel L10 cross centres; the unchanged candidate was retained and no durable file existed.
candidate_verification,2,H06_DAILY_S12_VERIFY_MODE=candidate H06_DAILY_S12_CANDIDATE_DIR=/private/tmp/H06_daily-order63-candidate.2HitiQ Rscript --vanilla tests/hypotheses/H06_daily/test_h06_daily_manuscript_supplementary_figure_s12.R,VERIFIER_ONLY_STOP,One-decimal coordinate grouping reconciled the exact 3 by 15 SVG grid but a scalar logical operator stopped the vectorized raster mask.
candidate_verification,3,H06_DAILY_S12_VERIFY_MODE=candidate H06_DAILY_S12_CANDIDATE_DIR=/private/tmp/H06_daily-order63-candidate.2HitiQ Rscript --vanilla tests/hypotheses/H06_daily/test_h06_daily_manuscript_supplementary_figure_s12.R,VERIFIER_ONLY_STOP,The vectorized raster mask and one-decimal SVG grouping passed without candidate change; tibble attributes stopped the exact-value comparison.
candidate_verification,4,H06_DAILY_S12_VERIFY_MODE=candidate H06_DAILY_S12_CANDIDATE_DIR=/private/tmp/H06_daily-order63-candidate.2HitiQ Rscript --vanilla tests/hypotheses/H06_daily/test_h06_daily_manuscript_supplementary_figure_s12.R,PASS,Exact non-MDER SVG values passed with irrelevant tibble attributes excluded; both candidate files remained byte-identical.
visual_qa,1,Direct original-size and 170-mm inspection,PASS,"All panels, marks, labels, and the three-class legend passed."
durable_promotion,1,R 4.6.1 exact file.copy of the inspected PNG and SVG,PASS,The two candidates were copied once after the complete candidate gate.
final_seal,1,H06_DAILY_S12_VERIFY_MODE=final Rscript --vanilla tests/hypotheses/H06_daily/test_h06_daily_manuscript_supplementary_figure_s12.R,VERIFIER_ONLY_STOP,"The exact 170-mm dimensions matched numerically, but integer-versus-double storage stopped the type-strict assertion before any evidence write."
final_seal,2,H06_DAILY_S12_VERIFY_MODE=final Rscript --vanilla tests/hypotheses/H06_daily/test_h06_daily_manuscript_supplementary_figure_s12.R,PASS,"The type-stable preview assertion, durable identities, protected pins, and non-circular evidence package passed without candidate replacement."
