dataset_id,dataset_label,predictor_order,predictor_id,predictor_label,metric_slot,metric_id,manuscript_name,abbreviation,metric_label,raw_p_value,bh_adjusted_p_value,fdr_supported,h01_claim_eligible,participant_days,participants,sites,display_status,candidate_display_status,x,y,mark_type,style,encoded_status,cell_reconciled
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,1,daily_geometric_mean_medi,Mean melEDI,Mean,Mean — Mean melEDI,1.83052514928639e-14,1.3728938619647926e-13,TRUE,TRUE,777,141,9,FDR-supported with limitations,FDR-supported with limitations,437.71,390.68,circle,stroke-width: 1.63; stroke: none; fill: #0072B2;,FDR-supported with limitations,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,2,m10_mean_medi,Brightest 10 h mean,M10mean,M10mean — Brightest 10 h mean,5.152298719034901e-17,7.728448078552352e-16,TRUE,TRUE,777,141,9,FDR-supported with limitations,FDR-supported with limitations,437.71,414.26,circle,stroke-width: 1.63; stroke: none; fill: #0072B2;,FDR-supported with limitations,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,3,l10_mean_medi,Darkest 10 h mean,L10mean,L10mean — Darkest 10 h mean,,,FALSE,FALSE,777,141,9,L10 non-estimable,L10 non-estimable,437.71500000000003,437.83500000000004,cross,stroke-width: 1.63; stroke: #D55E00;,L10 non-estimable,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,4,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,"TAT1000 — Time above 1,000 lx melEDI",0.4487037706281723,0.5608797132852154,FALSE,FALSE,777,141,9,Not FDR-supported,Not FDR-supported,437.71,461.41,circle,stroke-width: 1.63; stroke: #7A7A7A;,Not FDR-supported,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,5,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,TAT250 — Time above 250 lx melEDI during wake,4.041167293367256e-9,1.5154377350127212e-8,TRUE,TRUE,747,140,9,FDR-supported with limitations,FDR-supported with limitations,437.71,484.98,circle,stroke-width: 1.63; stroke: none; fill: #0072B2;,FDR-supported with limitations,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,TBT10 — Time below 10 lx melEDI before sleep,0.00137332027453822,0.00228886712423036,TRUE,TRUE,753,140,9,FDR-supported with limitations,FDR-supported with limitations,437.71,508.56,circle,stroke-width: 1.63; stroke: none; fill: #0072B2;,FDR-supported with limitations,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,TBT1 — Time below 1 lx melEDI during sleep,0.7510499374471549,0.8612653262741896,FALSE,FALSE,777,141,9,Not FDR-supported,Not FDR-supported,437.71,532.14,circle,stroke-width: 1.63; stroke: #7A7A7A;,Not FDR-supported,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,PAT250 — Longest continuous period above 250 lx melEDI,0.05121734036850681,0.06984182777523655,FALSE,FALSE,777,141,9,Not FDR-supported,Not FDR-supported,437.71,555.71,circle,stroke-width: 1.63; stroke: #7A7A7A;,Not FDR-supported,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,9,m10_midpoint,Midpoint of the brightest 10 hours,M10,M10 — Midpoint of the brightest 10 hours,4.359071390194937e-6,1.3077214170584811e-5,TRUE,TRUE,777,141,9,FDR-supported with limitations,FDR-supported with limitations,437.71,579.29,circle,stroke-width: 1.63; stroke: none; fill: #0072B2;,FDR-supported with limitations,TRUE
gap_timing_unaware,Gap-timing-unaware sensitivity,1,work_free_day,Free vs Work,10,l10_midpoint,Midpoint of the darkest 10 hours,L10,L10 — Midpoint of the darkest 10 hours,2.8960799027496e-4,5.4301498176555e-4,TRUE,TRUE,777,141,9,FDR-supported with limitations,FDR-supported with limitations,437.71,602.86,circle,stroke-width: 1.63; stroke: none; fill: #0072B2;,FDR-supported with limitations,TRUE
