gate,status,detail
candidate_file_scope,PASS,The fresh temporary candidate directory contains exactly the PNG and SVG.
dispatch_manifest_identity,PASS,The non-circular order-63 dispatch manifest has its sealed identity.
dispatch_manifest_structure,PASS,The dispatch manifest contains 22 unique rows and excludes itself.
dispatch_reproduction,PASS,All 22 dispatched H06_daily inputs reproduce by SHA-256 and byte count.
r_source_parse,PASS,The builder and focused verifier parse under R 4.6.1.
builder_prohibited_calls,PASS,"The builder contains no model serialization, broad sourcing, render, parallel, or resampling call."
frozen_source_contract,PASS,"The frozen source retains 90 unique cells, 15 metric slots, three predictors, and two analysis sets."
frozen_status_contract,PASS,The frozen 57/21/6/6 status split and MDER/L10 contracts reproduce.
png_canvas,PASS,The candidate PNG is 3776 by 3680 pixels at 320 DPI.
svg_canvas,PASS,The SVG canvas is 849.60 pt by 828.00 pt with the accepted viewBox.
source_to_display_reconciliation,PASS,All 90 frozen source rows reconcile one-to-one to candidate SVG marks.
candidate_mark_classes,PASS,"The candidate contains 57 supported, 27 ordinary unsupported, and six L10 marks."
three_class_legend,PASS,Exactly three legend labels remain and the MDER-specific label is absent.
mder_display_class_removed,PASS,All six MDER cells use the ordinary unsupported encoding with no magenta class.
l10_display_class_retained,PASS,All six L10 cells retain the accepted orange-cross non-estimable encoding.
non_mder_svg_marks_unchanged,PASS,All 84 non-MDER SVG cell marks are structurally identical.
panel_geometry_unchanged,PASS,Both 3 by 15 panel grids are structurally identical to the accepted display.
mder_svg_transition_exact,PASS,Exactly six MDER SVG diamonds become ordinary unsupported circles.
decoded_raster_difference_scope,PASS,Decoded-raster changes are confined to the six MDER marker boxes and the accepted legend region.
durable_promotion_identity,PASS,The two durable files are exact copies of the inspected temporary candidates.
visual_preview_dimensions,PASS,The inspected manuscript preview is exactly 170 mm wide at 320 DPI.
visual_qa,PASS,Original-size and 170-mm visual QA pass with at least 7-point text.
