role,path,sha256,bytes,r_version
panel_d_source,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_panel_d_source.csv,47797ed22e2a946e596d2b91540d27ac6f48174420a730a196ae2dd7acb0bc37,9065,4.6.1
category_support,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_category_support.csv,37aa318d84684b14ac750b8f1749d40d5f107747b2e92b538be6d5090cf1d4d5,888,4.6.1
frame_contract,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_frame_contract.csv,95485564c3f4f268643a97442b864883f069f7fa8a1ca7211ea40e2581e9c22b,399,4.6.1
input_identities,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_input_identities.csv,e0df4ac91203437b8b0ba25930f73e2b669e7ca592879c4eb701a75196bbe496,1921,4.6.1
temporal_tag_boxes,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_temporal_tag_boxes.csv,0ec057f812015073fee3d63bac0b203c0b637458c2686449a6e9a95af523edbc,1019,4.6.1
panel_d_svg,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_panel_d.svg,3d5d183a1544dc2eb7ff18b09e7fae38a5d8c0ff7330547a5cce700a994839ec,48123,4.6.1
panel_d_png,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_panel_d.png,64df0699d3281b83a71dcc59e602c8182c9175cc626c2acc20802b7514b5d76a,1539952,4.6.1
candidate_svg,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate.svg,012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd,226671,4.6.1
candidate_png,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate.png,22d402974fc0df26c77536e5db8af166e87637f2192ea4cc4f01da2d98ebb122,2450756,4.6.1
candidate_png_170mm,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate_170mm.png,2da11eed6c7d22d0fd3f79dffc6a0232939e8b157e8d3366626f082938e4d9e7,1713444,4.6.1
candidate_vector_170mm,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate_vector_170mm.png,db4dfade87f2f3ac100364d6eb76f5216500cb97c411c38720c6993afb3afd7f,4188325,4.6.1
candidate_caption,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/hypotheses/H04/manuscript_figure3_candidate/author_revision3_other_label_final_2026_09_01/H04_manuscript_figure3_candidate_caption.txt,a2f55a592ee759237497c7ac5197c54132862f25cd4625f829ebafc84471ae36,1191,4.6.1
