panel,box,label,x,y,box_x,box_y,box_width,box_height,x_start,x_end,y_start,y_end
A,removed_right_tag,A,1102.64,27.29,1080,7,30,28,4501,4625,30,146
B,removed_right_tag,B,1102.64,308.04,1080,288,30,28,4501,4625,1201,1317
C,removed_right_tag,C,1102.64,564.24,1080,544,30,28,4501,4625,2267,2384
A,added_left_tag,A,15.94,27.29,8,7,30,28,34,159,30,146
B,added_left_tag,B,15.94,308.04,8,288,30,28,34,159,1201,1317
C,added_left_tag,C,15.94,564.24,8,544,30,28,34,159,2267,2384
A,other_strip_label,Other,1024.4,68.81,940.71,53.97,167.39,21.08,3920,4618,225,313
B,other_strip_label,Other,1024.4,349.68,940.71,334.84,167.39,21.08,3920,4618,1396,1483
C,other_strip_label,Other,1024.4,606,940.71,591.17,167.39,21.08,3920,4618,2464,2552
Caption,other_caption,Panel B divides each displayed activity curve by the displayed global time-of-day mean; the dashed reference is 1. Other is display-only.,15.94,820.96,14,808,740,17,59,3142,3367,3438
B/C,axis_label_and_c_tag,Ratio to global mean; C,25.96,437.76,7,335,42,250,30,205,1396,2438
