row_type,site,site_color,activity,display_activity,estimate,confidence_interval,fdr_p,estimable,fdr_label,model_source
site_average,Site-average estimate,NA,At home,At home,76.4 (62.0–94.1) lx,Reference category,FDR p (reference),TRUE,FALSE,activity_by_site_interaction
site_average,Site-average estimate,NA,Working in the office/from home,Office/home working,198.9 (173.9–227.5) lx,2.604 (2.121–3.198)× At home,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_average,Site-average estimate,NA,Outdoors,Outdoors,714.2 (561.7–908.2) lx,9.354 (6.946–12.595)× At home,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_average,Site-average estimate,NA,On the road with public transport/car,Vehicle/public transport,331.2 (274.4–399.8) lx,4.338 (3.320–5.668)× At home,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_average,Site-average estimate,NA,Sleeping,Sleeping,4.3 (3.1–6.0) lx,0.056 (0.041–0.076)× At home,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_average,Site-average estimate,NA,Other/unspecified activity,Other,221.8 (97.2–506.4) lx,2.970 (1.228–7.182)× At home,Display only,TRUE,FALSE,additive_display_only
site_deviation,Borås (SE),#88CCEE,At home,At home,1.74×,95% CI 0.94–3.22,FDR p 0.152,TRUE,FALSE,activity_by_site_interaction
site_deviation,Borås (SE),#88CCEE,Working in the office/from home,Office/home working,1.64×,95% CI 1.22–2.19,FDR p 0.005,TRUE,TRUE,activity_by_site_interaction
site_deviation,Borås (SE),#88CCEE,Outdoors,Outdoors,4.28×,95% CI 2.84–6.45,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_deviation,Borås (SE),#88CCEE,On the road with public transport/car,Vehicle/public transport,1.67×,95% CI 0.93–3.00,FDR p 0.159,TRUE,FALSE,activity_by_site_interaction
site_deviation,Borås (SE),#88CCEE,Sleeping,Sleeping,0.45×,95% CI 0.22–0.96,FDR p 0.084,TRUE,FALSE,activity_by_site_interaction
site_deviation,Borås (SE),#88CCEE,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
site_deviation,Delft (NL),#117733,At home,At home,2.07×,95% CI 1.30–3.28,FDR p 0.009,TRUE,TRUE,activity_by_site_interaction
site_deviation,Delft (NL),#117733,Working in the office/from home,Office/home working,1.48×,95% CI 1.07–2.04,FDR p 0.048,TRUE,TRUE,activity_by_site_interaction
site_deviation,Delft (NL),#117733,Outdoors,Outdoors,2.32×,95% CI 1.32–4.09,FDR p 0.014,TRUE,TRUE,activity_by_site_interaction
site_deviation,Delft (NL),#117733,On the road with public transport/car,Vehicle/public transport,1.32×,95% CI 0.86–2.02,FDR p 0.299,TRUE,FALSE,activity_by_site_interaction
site_deviation,Delft (NL),#117733,Sleeping,Sleeping,1.17×,95% CI 0.51–2.68,FDR p 0.797,TRUE,FALSE,activity_by_site_interaction
site_deviation,Delft (NL),#117733,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
site_deviation,Dortmund (DE),#DDCC77,At home,At home,2.31×,95% CI 1.14–4.67,FDR p 0.051,TRUE,FALSE,activity_by_site_interaction
site_deviation,Dortmund (DE),#DDCC77,Working in the office/from home,Office/home working,1.67×,95% CI 0.91–3.06,FDR p 0.169,TRUE,FALSE,activity_by_site_interaction
site_deviation,Dortmund (DE),#DDCC77,Outdoors,Outdoors,2.00×,95% CI 1.20–3.34,FDR p 0.025,TRUE,TRUE,activity_by_site_interaction
site_deviation,Dortmund (DE),#DDCC77,On the road with public transport/car,Vehicle/public transport,2.41×,95% CI 1.44–4.05,FDR p 0.005,TRUE,TRUE,activity_by_site_interaction
site_deviation,Dortmund (DE),#DDCC77,Sleeping,Sleeping,4.53×,95% CI 1.30–15.79,FDR p 0.048,TRUE,TRUE,activity_by_site_interaction
site_deviation,Dortmund (DE),#DDCC77,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
site_deviation,Tübingen (DE),#DDCC77,At home,At home,0.42×,95% CI 0.28–0.63,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_deviation,Tübingen (DE),#DDCC77,Working in the office/from home,Office/home working,0.54×,95% CI 0.39–0.73,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_deviation,Tübingen (DE),#DDCC77,Outdoors,Outdoors,0.18×,95% CI 0.11–0.30,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_deviation,Tübingen (DE),#DDCC77,On the road with public transport/car,Vehicle/public transport,0.34×,95% CI 0.21–0.56,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_deviation,Tübingen (DE),#DDCC77,Sleeping,Sleeping,0.38×,95% CI 0.16–0.89,FDR p 0.061,TRUE,FALSE,activity_by_site_interaction
site_deviation,Tübingen (DE),#DDCC77,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
site_deviation,Munich (DE),#DDCC77,At home,At home,1.25×,95% CI 0.73–2.14,FDR p 0.486,TRUE,FALSE,activity_by_site_interaction
site_deviation,Munich (DE),#DDCC77,Working in the office/from home,Office/home working,1.54×,95% CI 1.00–2.36,FDR p 0.102,TRUE,FALSE,activity_by_site_interaction
site_deviation,Munich (DE),#DDCC77,Outdoors,Outdoors,1.34×,95% CI 0.72–2.48,FDR p 0.433,TRUE,FALSE,activity_by_site_interaction
site_deviation,Munich (DE),#DDCC77,On the road with public transport/car,Vehicle/public transport,0.81×,95% CI 0.58–1.13,FDR p 0.299,TRUE,FALSE,activity_by_site_interaction
site_deviation,Munich (DE),#DDCC77,Sleeping,Sleeping,10.47×,95% CI 4.40–24.89,FDR p <0.001,TRUE,TRUE,activity_by_site_interaction
site_deviation,Munich (DE),#DDCC77,Other/unspecified activity,Other,Not estimable,NA,NA,FALSE,FALSE,excluded_from_activity_by_site_interaction
