Scenario,Placement,Participants,Participant-days,Observations,Sites
Gap-timing-unaware dataset,Near eye,140–141,755–811,755–811,9
Gap-timing-unaware dataset,Chest,153–154,839–897,839–897,8
Paired near-eye/chest common sample,Near eye,110–112,505–643,505–643,8
Paired near-eye/chest common sample,Chest,110–112,505–643,505–643,8
Preparation exact-common rows,Near eye,139–141,653–809,653–809,9
Preparation exact-common rows,Chest,153–154,740–894,740–894,8
Exactly identified longest-period rows,Near eye,132,500,500,9
Exactly identified longest-period rows,Chest,150,564,564,8
Observed/corrected dose common rows,Near eye,141,761,761,9
Observed/corrected dose common rows,Chest,154,851,851,8
