Scenario,Placement,Agreement,Changed classifications
Gap-timing-unaware dataset,Near eye ; primary,9/9,None
Gap-timing-unaware dataset,Chest ; complementary,8/9,melEDI dose
Paired near-eye/chest common sample,Near eye ; primary,4/9,"Brightest 10 h mean; Darkest 10 h mean; Time above 1,000 lx melEDI; Time above 250 lx melEDI during wake; melEDI dose"
Paired near-eye/chest common sample,Chest ; complementary,6/9,Time below 1 lx melEDI during sleep; Longest continuous period above 250 lx melEDI; melEDI dose
Preparation exact-common rows: primary dataset,Near eye ; primary,9/9,None
Preparation exact-common rows: primary dataset,Chest ; complementary,8/9,Time below 1 lx melEDI during sleep
Preparation exact-common rows: gap-timing-unaware dataset,Near eye ; primary,9/9,None
Preparation exact-common rows: gap-timing-unaware dataset,Chest ; complementary,8/9,Time below 1 lx melEDI during sleep
Exactly identified longest-period rows,Near eye ; primary,0/1,Longest continuous period above 250 lx melEDI
Exactly identified longest-period rows,Chest ; complementary,1/1,None
Observed/corrected dose on common rows,Near eye ; primary,2/2,None
Observed/corrected dose on common rows,Chest ; complementary,2/2,None
