"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes"
1,"tbl-h11-prep-frame-integrity","id",1,47138,47145,"Analysis","tbl-h11-prep-frame-integrity--gt-0001","","",47138,47174,8,37
1,"tbl-h11-prep-frame-integrity","id",2,47271,47283,"File-identity","tbl-h11-prep-frame-integrity--gt-0002","","",47300,47336,13,37
1,"tbl-h11-prep-frame-integrity","id",3,47414,47428,"Schema-complete","tbl-h11-prep-frame-integrity--gt-0003","","",47467,47503,15,37
1,"tbl-h11-prep-frame-integrity","id",4,47561,47574,"Duplicate-keys","tbl-h11-prep-frame-integrity--gt-0004","","",47636,47672,14,37
1,"tbl-h11-prep-frame-integrity","id",5,47707,47718,"a48-bin-grid","tbl-h11-prep-frame-integrity--gt-0005","","",47805,47841,12,37
1,"tbl-h11-prep-frame-integrity","id",6,47847,47860,"Response-error","tbl-h11-prep-frame-integrity--gt-0006","","",47970,48006,14,37
1,"tbl-h11-prep-frame-integrity","id",7,47993,48005,"AR-boundaries","tbl-h11-prep-frame-integrity--gt-0007","","",48139,48175,13,37
1,"tbl-h11-prep-frame-integrity","id",8,48136,48142,"Overall","tbl-h11-prep-frame-integrity--gt-0008","","",48306,48342,7,37
1,"tbl-h11-prep-frame-integrity","headers",1,48356,48363,"Analysis","tbl-h11-prep-frame-integrity--gt-0001","Analysis","tbl-h11-prep-frame-integrity--gt-0001",48556,48592,8,37
1,"tbl-h11-prep-frame-integrity","headers",2,48424,48436,"File identity","tbl-h11-prep-frame-integrity--gt-0002","File-identity","tbl-h11-prep-frame-integrity--gt-0002",48653,48689,13,37
1,"tbl-h11-prep-frame-integrity","headers",3,48485,48499,"Schema complete","tbl-h11-prep-frame-integrity--gt-0003","Schema-complete","tbl-h11-prep-frame-integrity--gt-0003",48738,48774,15,37
1,"tbl-h11-prep-frame-integrity","headers",4,48549,48562,"Duplicate keys","tbl-h11-prep-frame-integrity--gt-0004","Duplicate-keys","tbl-h11-prep-frame-integrity--gt-0004",48824,48860,14,37
1,"tbl-h11-prep-frame-integrity","headers",5,48608,48618,"48-bin grid","tbl-h11-prep-frame-integrity--gt-0005","a48-bin-grid","tbl-h11-prep-frame-integrity--gt-0005",48906,48942,11,37
1,"tbl-h11-prep-frame-integrity","headers",6,48668,48681,"Response error","tbl-h11-prep-frame-integrity--gt-0006","Response-error","tbl-h11-prep-frame-integrity--gt-0006",48992,49028,14,37
1,"tbl-h11-prep-frame-integrity","headers",7,48731,48743,"AR boundaries","tbl-h11-prep-frame-integrity--gt-0007","AR-boundaries","tbl-h11-prep-frame-integrity--gt-0007",49078,49114,13,37
1,"tbl-h11-prep-frame-integrity","headers",8,48792,48798,"Overall","tbl-h11-prep-frame-integrity--gt-0008","Overall","tbl-h11-prep-frame-integrity--gt-0008",49163,49199,7,37
