"domain","check_id","pass","detail"
"H11 result acceptance","owner_non_circular_manifest",TRUE,"exact=107/107"
"H11 result acceptance","fixed_endpoints_and_held_scopes",TRUE,"exact=19/19"
"H11 result acceptance","independent_complete_replay",TRUE,"status=0 checks=14"
"H11 result acceptance","visual_lifecycle_and_no_drift",TRUE,"completion=17 visual=17 lifecycle=8 no_drift=11"
"H11 companion preflight","source_parse_endpoints_and_no_scientific_execution",TRUE,"chunks=34 expressions=71 tables=26 figures=3 mermaid=1 forbidden=0"
"H11 companion preflight","relative_links_and_fragments",TRUE,"occurrences=20 unique=17 fragments=14"
"H11 companion preflight","complete_historical_manifest_transition_set",TRUE,"rows=282 exact=276 transitions=6"
"H11 companion preflight","prospective_helper_path_set",TRUE,"prospective=283 current_manifest=282 added=1 removed=0"
"H11 companion preflight","held_integration_state",TRUE,"checks=7"
"H11 companion preflight","prospective_preparation_test_contract",TRUE,"postimage=4c31cb4120fdb0530609906df707c161b875c0859a917de61f3baa1050d24180/10561 static_status=0"
"H11 companion preflight","profile_target_and_zero_symlinks",TRUE,"profile_occurrences=1 build_members=1180 symlinks=0"
