"path","sha256","bytes","exists","live_sha256","live_bytes","exact"
"notebooks/hypotheses/H11.qmd","7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",57462,TRUE,"7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867",57462,TRUE
"audit/hypotheses/H11/H11_analysis_preparation.qmd","3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816",54527,TRUE,"3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816",54527,TRUE
"_build/nathealth/notebooks/hypotheses/H11.html","2c8a34ec47c10b3b4b1be600093cb03837bd0beb3b617f7e04f156529076d21a",306265,TRUE,"2c8a34ec47c10b3b4b1be600093cb03837bd0beb3b617f7e04f156529076d21a",306265,TRUE
"_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html","fd6307a6a2e9365f95f18f1fd668165cf833847cab58bac9d3be1e8a9b6dde11",775131,TRUE,"fd6307a6a2e9365f95f18f1fd668165cf833847cab58bac9d3be1e8a9b6dde11",775131,TRUE
"tests/hypotheses/H11/test_h11_stage3_reader_report.R","b0af27946d6c4001e659e9edb27bfab0fdfd3a36aa8be536d51ed50ae234a3c0",16783,TRUE,"b0af27946d6c4001e659e9edb27bfab0fdfd3a36aa8be536d51ed50ae234a3c0",16783,TRUE
"tests/hypotheses/H11/test_h11_report016_hourly_disposition.R","3d945c2b813ffaa2291ddebbe01f1f45c5c4ae7fe10256c9a1c8b15c3b531e7b",8062,TRUE,"3d945c2b813ffaa2291ddebbe01f1f45c5c4ae7fe10256c9a1c8b15c3b531e7b",8062,TRUE
"tests/hypotheses/H11/test_h11_preparation_report.R","7c565618a4d3ec1c2240419b1daead2189616fce97931dde68e0a9450db8f41f",10562,TRUE,"7c565618a4d3ec1c2240419b1daead2189616fce97931dde68e0a9450db8f41f",10562,TRUE
"scripts/hypotheses/H11/build_h11_preparation_report_manifest.R","317f31069e6019475023b3097b1d7f1b00435755e0a109e40535fab89b570bf8",10130,TRUE,"317f31069e6019475023b3097b1d7f1b00435755e0a109e40535fab89b570bf8",10130,TRUE
"artifacts/12_manifests/H11/H11_stage3_artifact_manifest.csv","2f55cef62117af71beab6e320fac842489b24be149209ea60a1d54cbd172f645",14512,TRUE,"2f55cef62117af71beab6e320fac842489b24be149209ea60a1d54cbd172f645",14512,TRUE
"artifacts/12_manifests/H11/H11_preparation_report_manifest.csv","00ce783a5958f6f958db1d2d6d78076760953ad1c51cc18c30abb697557c8e5c",72966,TRUE,"00ce783a5958f6f958db1d2d6d78076760953ad1c51cc18c30abb697557c8e5c",72966,TRUE
"audit/handoffs/H11_worker_handoff.md","5f01ac88745d55d749854b41d22ce3bd0afe43f42dbbaded98da7a61e1b53289",15358,TRUE,"5f01ac88745d55d749854b41d22ce3bd0afe43f42dbbaded98da7a61e1b53289",15358,TRUE
"notebooks/sensitivity_battery.qmd","d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70",3623,TRUE,"d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70",3623,TRUE
"_build/nathealth/notebooks/sensitivity_battery.html","b9af89c035391db6e39c55064b1de7309220702d626fa2fa274000b22b879780",37775,TRUE,"b9af89c035391db6e39c55064b1de7309220702d626fa2fa274000b22b879780",37775,TRUE
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE,"80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,TRUE
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,TRUE,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,TRUE
"audit/hypotheses/H11/report018_order60c_no_rerender_completion/order60c_completion.md","1171ec8d8538f529dfe0eec46d432fdda34e9d5cc8258ff2a27fe5d22429cc29",3133,TRUE,"1171ec8d8538f529dfe0eec46d432fdda34e9d5cc8258ff2a27fe5d22429cc29",3133,TRUE
"audit/hypotheses/H11/report018_order60c_no_rerender_completion/order60c_non_circular_completion_manifest.csv","a2a2db205736b3860db6d974ae0b83b192f9d18048959e154a5007391068746e",20725,TRUE,"a2a2db205736b3860db6d974ae0b83b192f9d18048959e154a5007391068746e",20725,TRUE
"audit/hypotheses/H11/report018_order60c_no_rerender_completion/check_report018_h11_order60c_no_rerender_completion.R","4338fd078c73de265a7d25bd50afbc251c3289c1e5a01124490abc51b84c3af8",32103,TRUE,"4338fd078c73de265a7d25bd50afbc251c3289c1e5a01124490abc51b84c3af8",32103,TRUE
"audit/report_harmonization/coordination_matrix.csv","c8990a95151ebfd5deb0a1abca3a69ad2c4a1720f30537de13deebab2386b6ac",42552,TRUE,"c8990a95151ebfd5deb0a1abca3a69ad2c4a1720f30537de13deebab2386b6ac",42552,TRUE
