"domain","pass","detail"
"render",TRUE,"single authorized render exited 0; no retry"
"semantic",TRUE,"tables=26 ids=179 headers=801 post=58518d708e4feb6145bd8eb773b6b9ae4937afdf4a9e44e19d4215d9ca86162c"
"helper",TRUE,"rows=283 exact=283"
"source-copy",TRUE,"3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816 == 3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816"
"historical-source-side",TRUE,"source-side HTML and support directory absent"
"HTML-structure",TRUE,"main=1 tables=26 images=3 captions=29 mermaid=1"
"preparation-test",FALSE,"exit=1: direct test expects QMD, generic verifier still requires HTML"
"accepted-result-and-held-scopes",TRUE,"exact=12/12"
"scientific-preservation",TRUE,"exact=193/193 deltas=0"
"build-symlinks",TRUE,"symlinks=0"
"Sass-cache-ownership",TRUE,"user-owned=25/25 deltas=0"
