phase,command_count,exit_status,disposition,detail
central_preflight,1,0,PASS,"11/11 domains; owner 107/107; independent 14/14; 26 tables; 3 figures; 1 Mermaid; prospective manifest 283; six historical transitions"
pre_render_inventory,1,0,PASS,"build 1180; zero symlinks; protected 336; scientific 193; critical 21; Sass 25"
test_transition,1,0,PASS,"exact one-line postimage 4c31cb4120fdb0530609906df707c161b875c0859a917de61f3baa1050d24180 / 10561; raw reversal exact"
companion_render,1,0,PASS,"single authorized render; no retry; semantic repair 26 tables / 179 IDs / 801 headers"
dedicated_helper,1,0,PASS,"283 unique, non-circular, live-exact manifest rows"
preparation_test,1,1,FAIL_CLOSED,"Error: The preparation source does not link to its result HTML."
visual_qa,0,,NOT_STARTED,"mandatory integration test failed before visual-QA gate"
alternate_or_full_render,0,,NOT_RUN,"prohibited by Order 61"
scientific_computation,0,,NOT_RUN,"no fit, prediction, simulation, resampling, or scientific regeneration"

