"check","observed","expected","status"
"runtime_r_version","4.6.1","4.6.1","PASS"
"lock_r_version","4.6.1","4.6.1","PASS"
"dependency_scan_seconds","4.258","<= 15","PASS"
"static_dependency_rows","959","informational","INFO"
"static_unique_packages","71","informational","INFO"
"shiny_static_sources","11","Quarto params only","PASS"
"see_optional_runtime","detected=TRUE, installed=TRUE, locked=TRUE","installed=TRUE, locked=TRUE; static detection may vary","PASS"
"dharma_optional_runtime","detected=TRUE, installed=TRUE, locked=TRUE","installed=TRUE, locked=TRUE; static detection may vary","PASS"
"locked_missing_from_library","0","0","PASS"
"required_missing_from_library","0","0","PASS"
"version_mismatches","0","resolved only by gated final snapshot","PASS"
"explicit_packages_missing_from_lock","0","resolved only by gated final snapshot","PASS"
