"package","static_detected","static_source_count","static_sources","declared_require","declared_version","base_package","dependency_policy","runtime_required","explicit_lock_expected","policy_rationale","installed_version","installed_built","installed_library","installed_repository","installed_remote_type","installed_remote_host","installed_remote_repo","installed_remote_ref","installed_remote_sha","lock_version","lock_source","lock_repository","lock_remote_type","lock_remote_host","lock_remote_repo","lock_remote_ref","lock_remote_sha","installed","locked","lock_expected","version_equal","scanner_false_positive_confirmed","reconciliation_status","source_metadata_status"
"ape",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","5.8-1","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 23:17:26 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","ape","5.8-1","5.8-1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"AsioHeaders",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.30.2-1","R 4.6.0; ; 2026-04-25 16:19:13 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","AsioHeaders","1.30.2-1","1.30.2-1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"askpass",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.2.1","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:03:23 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","askpass","1.2.1","1.2.1","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"backports",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.5.1","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:41:25 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","backports","1.5.1","1.5.1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"base",FALSE,0,"","","",TRUE,"",FALSE,FALSE,"","4.6.1","R 4.6.1; ; 2026-06-25 21:53:52 UTC; unix","/Library/Frameworks/R.framework/Resources/library","","","","","","","","","","","","","","",TRUE,FALSE,FALSE,FALSE,,"base_package","not_comparable"
"base64enc",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.1-6","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:38:42 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","base64enc","0.1-6","0.1-6","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"bayestestR",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.18.1","R 4.6.0; ; 2026-05-24 18:41:57 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","bayestestR","0.18.1","0.18.1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"BH",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","1.90.0-1","R 4.6.0; ; 2026-04-25 15:48:04 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","CRAN","standard","","","BH","1.90.0-1","1.90.0-1","Repository","CRAN","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"bigD",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","0.3.1","R 4.6.0; ; 2026-04-29 23:52:28 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","bigD","0.3.1","0.3.1","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"bit",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","4.6.0","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:03:04 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","bit","4.6.0","4.6.0","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
"bit64",FALSE,0,"","","",FALSE,"",FALSE,FALSE,"","4.8.2","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:03:42 UTC; unix","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","RSPM","standard","","","bit64","4.8.2","4.8.2","Repository","https://packagemanager.posit.co/cran/latest","","","","","",TRUE,TRUE,TRUE,TRUE,,"version_synchronized","repository_metadata_present"
