run_id,site,work_free_day,activity_status,clock_hour_bin,one_hour_observations,participant_days,participants
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",0,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",1,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",2,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",3,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",4,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",5,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",6,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",7,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",8,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",9,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",10,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",11,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",12,36,36,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",13,35,35,14
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",14,37,37,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",15,34,34,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",16,33,33,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",17,31,31,13
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",18,33,33,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",19,34,34,15
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",20,34,34,14
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",21,34,34,14
main__glasses__all_available,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",22,35,35,15
